year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-18.3,-16.0,-8.4,-1.2,2.1,5.2,9.1,7.7,2.9,-2.2,-8.7,-12.3
1896,-14.9,-9.3,-10.7,-3.4,2.2,7.4,10.9,8.3,2.8,-1.9,-15.3,-6.1
1897,-14.6,-14.0,-14.8,-0.6,5.3,7.6,9.3,9.6,5.6,-1.0,-10.5,-11.7
1898,-12.1,-9.6,-12.1,-1.3,3.4,7.7,9.9,10.5,4.2,-2.4,-8.6,-12.6
1899,-13.2,-19.6,-14.2,-3.2,1.5,6.6,10.0,8.2,4.8,-1.4,-3.1,-11.2
1900,-8.7,-14.3,-6.1,0.8,4.9,9.7,9.5,8.9,4.7,0.2,-9.3,-7.2
1901,-12.9,-14.3,-6.4,-2.0,6.0,5.4,11.4,10.4,3.5,0.6,-5.0,-9.6
1902,-12.7,-11.3,-7.2,-2.8,4.3,5.8,8.7,8.4,2.4,-0.7,-7.3,-13.9
1903,-10.7,-16.2,-10.4,-2.6,1.6,8.1,9.0,9.1,3.8,-0.1,-8.5,-8.4
1904,-11.7,-17.2,-11.3,-1.6,3.1,6.3,9.8,8.6,4.0,-0.1,-4.1,-9.7
1905,-14.6,-16.7,-3.7,-2.3,2.1,6.7,10.4,10.4,6.0,-2.3,-6.1,-10.0
1906,-11.0,-9.8,-11.4,-0.1,3.3,6.8,10.5,9.7,5.7,0.3,-7.6,-11.2
1907,-21.6,-11.2,-7.2,-3.7,1.2,6.7,9.4,7.9,4.1,-0.1,-5.6,-9.7
1908,-11.0,-11.4,-8.1,-1.0,3.2,6.3,10.6,8.5,5.6,-0.7,-5.6,-10.5
1909,-17.6,-11.2,-7.2,-5.1,1.8,8.3,10.7,9.6,6.0,-1.0,-6.1,-15.8
1910,-12.7,-17.1,-1.9,1.2,3.0,7.7,11.1,7.2,4.6,1.0,-5.8,-10.1
1911,-16.6,-16.6,-4.6,-2.7,2.7,9.1,8.4,7.8,4.3,-1.7,-10.9,-11.6
1912,-15.6,-9.9,-14.5,-0.7,3.2,7.7,9.1,8.7,2.0,-1.6,-4.2,-8.8
1913,-16.9,-15.7,-11.1,-1.4,2.9,8.9,9.2,9.8,4.1,-2.2,-4.7,-11.0
1914,-10.2,-14.8,-6.3,-1.1,3.1,7.2,11.2,8.3,4.4,0.4,-4.3,-15.7
1915,-14.0,-9.8,-7.7,2.1,3.4,5.4,8.4,10.3,3.9,0.6,-6.1,-10.3
1916,-25.7,-13.2,-5.7,-1.9,1.1,6.0,11.1,8.4,3.7,-2.4,-8.2,-17.3
1917,-15.8,-16.2,-12.1,-2.9,1.8,5.8,11.6,8.4,5.1,-2.0,-3.3,-13.8
1918,-15.2,-13.4,-4.6,-2.7,1.9,9.2,10.4,9.2,4.4,1.4,-7.6,-8.4
1919,-7.8,-13.8,-10.6,-0.6,3.7,8.9,11.5,10.4,5.6,-5.5,-10.7,-14.9
1920,-13.2,-10.8,-8.4,-4.0,2.8,6.7,11.4,10.1,5.2,-0.2,-7.4,-10.1
1921,-9.9,-8.8,-7.1,-2.3,3.7,9.7,10.8,9.6,3.3,0.2,-8.1,-11.9
1922,-16.1,-20.3,-8.6,-1.9,3.5,9.0,9.8,11.1,5.9,-0.2,-7.0,-15.3
1923,-10.4,-16.1,-8.6,-2.7,3.0,8.2,12.8,9.3,5.2,-1.3,-4.4,-10.7
1924,-16.6,-7.0,-7.7,-2.0,1.9,6.1,9.6,7.8,3.8,0.3,-6.9,-17.3
1925,-12.1,-7.9,-6.3,0.7,3.5,7.8,10.8,8.7,5.4,-4.8,-6.1,-7.4
1926,-9.8,-5.9,-6.1,-1.6,4.6,7.1,11.1,9.3,1.7,0.6,-6.6,-12.6
1927,-13.7,-11.8,-6.3,-2.3,2.1,7.8,9.9,8.4,4.6,0.9,-8.1,-19.6
1928,-11.7,-11.5,-5.4,-3.3,4.7,6.1,10.8,7.8,3.2,-1.5,-6.7,-11.2
1929,-20.8,-18.3,-5.4,-3.4,1.1,6.7,10.4,10.6,2.7,-0.2,-7.9,-11.8
1930,-22.2,-6.1,-7.9,1.4,2.7,6.7,11.7,11.7,5.1,-2.1,-7.5,-8.6
1931,-8.3,-6.9,-6.9,-2.1,2.8,9.4,11.0,10.1,5.9,-0.9,-9.0,-10.4
1932,-14.3,-11.9,-10.7,-0.3,4.1,8.9,10.7,10.2,3.6,-1.6,-5.3,-14.3
1933,-11.8,-15.8,-5.8,-2.5,2.9,9.8,11.4,9.8,4.9,-0.3,-4.3,-11.4
1934,-7.9,-7.7,-5.6,-0.4,5.8,7.4,11.2,9.2,2.6,1.5,-3.7,-10.6
1935,-15.3,-8.7,-8.7,-4.6,1.9,6.7,11.3,8.6,4.6,-1.9,-9.2,-9.6
1936,-15.4,-26.2,-7.3,-2.9,5.7,9.3,14.1,10.9,4.9,-0.4,-7.2,-11.3
1937,-24.9,-15.4,-7.7,-1.3,4.0,7.7,12.1,9.2,5.8,1.4,-6.3,-11.4
1938,-10.4,-15.1,-5.9,-1.4,3.2,8.4,11.3,8.9,7.3,1.5,-7.7,-9.3
1939,-8.3,-16.9,-7.5,-1.0,4.7,6.1,11.4,8.7,4.9,-0.7,-5.7,-6.6
1940,-17.2,-11.1,-4.7,-1.7,3.9,8.1,11.6,9.4,8.1,2.5,-10.5,-8.6
1941,-11.3,-10.8,-6.4,-1.2,4.6,8.6,11.8,10.7,3.9,-1.3,-5.0,-9.4
1942,-13.1,-13.4,-6.7,-0.7,2.2,6.1,10.3,9.2,4.5,-0.1,-7.3,-10.4
1943,-19.2,-10.5,-12.8,0.3,1.7,6.3,9.9,9.2,3.3,0.3,-5.4,-9.7
1944,-10.6,-12.3,-10.7,-1.4,4.3,7.0,9.2,8.3,4.5,-0.1,-7.3,-12.3
1945,-11.3,-11.4,-6.4,-3.9,1.7,6.1,10.2,9.3,3.4,-0.1,-7.9,-12.9
1946,-10.5,-10.2,-3.6,-0.2,1.6,6.9,11.0,8.6,4.6,-2.1,-9.0,-10.8
1947,-11.9,-13.5,-9.4,-1.6,2.8,6.4,10.9,9.7,5.1,2.0,-8.1,-9.2
1948,-11.2,-14.4,-10.4,-1.9,4.1,9.1,9.9,9.6,5.2,-2.0,-5.8,-16.2
1949,-22.4,-18.0,-8.8,-0.4,4.2,7.2,9.7,10.0,3.7,-1.9,-2.5,-14.8
1950,-24.8,-10.3,-9.4,-3.3,1.1,6.1,9.1,8.0,4.2,0.7,-9.2,-9.0
1951,-15.8,-12.7,-13.6,-4.4,3.2,4.6,9.9,8.8,3.2,-1.3,-7.4,-16.2
1952,-16.7,-11.2,-10.8,-0.8,3.8,7.4,8.8,9.2,5.4,-1.9,-8.3,-9.6
1953,-7.7,-8.2,-6.3,-3.7,1.6,7.4,10.1,9.6,4.8,0.4,-4.0,-7.7
1954,-17.5,-4.9,-10.7,-3.4,2.4,6.0,11.1,9.2,4.7,-1.6,-2.9,-9.0
1955,-12.8,-14.4,-11.9,-2.3,2.6,7.0,11.1,9.4,3.7,-0.2,-13.6,-14.1
1956,-14.8,-14.7,-7.9,-3.8,4.1,8.3,10.3,8.6,4.3,-0.5,-6.4,-9.4
1957,-20.4,-12.7,-7.1,-2.3,4.4,7.5,10.9,9.6,4.5,-1.0,-6.0,-6.4
1958,-8.5,-10.7,-7.8,-1.3,5.3,7.2,9.1,10.6,4.6,-0.8,-6.9,-9.9
1959,-13.8,-16.6,-4.8,-2.5,1.2,8.3,9.7,8.7,4.6,-1.1,-9.7,-7.4
1960,-14.3,-12.8,-9.2,-1.9,2.7,6.9,11.5,8.9,4.3,-0.2,-6.9,-10.7
1961,-9.8,-6.4,-4.8,-3.2,3.8,9.3,11.1,11.3,2.3,-1.1,-8.5,-13.7
1962,-14.9,-12.0,-10.2,-0.9,3.7,7.4,9.1,8.8,3.4,1.3,-3.7,-8.0
1963,-19.4,-7.1,-4.8,-1.8,2.9,8.1,10.2,9.6,7.6,2.1,-5.8,-12.7
1964,-10.4,-8.9,-9.9,-2.1,3.8,7.6,11.2,8.1,3.2,-0.4,-8.6,-16.2
1965,-12.3,-12.3,-14.3,-1.3,2.2,6.8,10.4,9.7,1.0,0.6,-6.4,-9.7
1966,-16.3,-13.1,-6.9,-3.4,3.1,6.7,11.4,8.4,6.7,-0.6,-8.5,-9.9
1967,-10.1,-9.2,-8.7,-4.1,1.9,7.3,10.3,9.4,6.7,0.8,-6.4,-13.3
1968,-14.6,-9.0,-4.1,-3.6,1.5,7.2,9.4,8.7,5.0,-0.8,-5.6,-15.1
1969,-20.8,-14.1,-10.8,-0.1,3.1,6.1,9.7,9.6,5.3,-2.7,-5.3,-9.3
1970,-14.4,-8.9,-8.8,-3.4,3.3,8.9,11.1,9.4,3.2,-2.4,-7.6,-13.1
1971,-14.7,-10.3,-7.7,-1.9,3.1,7.4,8.3,11.6,3.2,-1.5,-5.6,-15.4
1972,-17.3,-12.2,-5.2,-2.6,3.5,8.4,8.4,10.6,2.8,-2.6,-5.7,-15.1
1973,-12.5,-10.6,-5.3,-3.0,2.2,7.6,9.6,10.2,4.8,0.3,-8.8,-9.0
1974,-14.0,-7.4,-6.9,-0.6,1.7,8.0,11.2,7.9,2.7,-0.8,-5.4,-8.8
1975,-12.2,-15.4,-8.9,-4.8,2.4,6.6,12.3,8.4,3.1,-0.3,-7.8,-9.5
1976,-11.3,-7.6,-8.8,-0.9,3.3,6.9,10.8,9.9,4.9,-2.0,-7.9,-9.3
1977,-16.4,-6.4,-6.5,-1.4,3.9,9.0,10.2,8.1,4.9,-0.3,-8.4,-13.2
1978,-17.0,-13.8,-6.7,-0.2,3.8,7.0,10.0,8.4,5.8,-0.8,-11.0,-15.9
1979,-22.2,-15.8,-7.1,-2.9,2.2,6.8,10.4,10.1,5.4,0.5,-8.4,-8.4
1980,-16.6,-10.1,-8.0,0.0,4.4,7.6,10.3,7.8,5.2,-0.2,-4.7,-9.7
1981,-7.5,-8.8,-5.3,-0.6,4.4,6.5,10.0,10.1,4.8,-1.0,-4.4,-10.4
1982,-19.4,-13.7,-7.2,-4.1,2.1,7.1,10.1,9.8,4.1,-0.5,-8.8,-10.3
1983,-8.1,-6.1,-4.5,-3.4,1.9,6.8,10.3,12.4,3.9,0.2,-5.1,-21.2
1984,-9.6,-6.1,-5.2,-1.9,2.4,7.1,10.8,11.2,2.5,-2.8,-6.4,-16.4
1985,-15.1,-14.2,-7.4,-0.3,4.4,6.3,11.6,8.5,3.2,-1.4,-15.2,-12.6
1986,-6.9,-12.3,-1.9,-1.8,3.3,9.6,9.1,9.6,4.4,0.1,-8.2,-9.2
1987,-9.8,-7.1,-4.9,0.5,5.3,8.4,10.7,7.8,4.7,-2.1,-4.8,-9.8
1988,-14.1,-10.7,-5.3,-1.2,4.6,11.3,10.8,9.1,4.3,0.5,-5.7,-10.2
1989,-11.3,-18.1,-8.4,-1.5,3.1,7.2,11.9,9.6,3.9,-0.4,-4.5,-11.7
1990,-8.2,-10.9,-6.0,-1.3,2.7,7.5,10.2,10.7,6.4,-1.3,-5.4,-16.6
1991,-14.4,-4.7,-6.5,-1.0,3.7,7.8,10.6,11.6,5.2,-2.8,-7.9,-8.3
1992,-8.2,-6.7,-3.7,-0.6,3.8,8.6,8.7,7.9,3.9,0.1,-5.7,-14.7
1993,-16.6,-15.6,-4.7,-1.1,4.6,6.8,8.1,8.2,3.1,-1.0,-9.4,-7.9
1994,-11.2,-15.4,-4.7,-1.2,4.7,7.5,10.0,10.3,5.8,-0.1,-7.8,-9.7
1995,-10.7,-8.4,-7.6,-2.9,2.4,7.3,10.1,9.1,4.6,-0.8,-5.8,-11.6
