year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-15.2,-14.1,-6.9,3.9,6.7,11.7,13.8,13.7,9.6,-1.1,-6.8,-9.8
1896,-10.1,-7.7,-8.1,2.9,9.6,12.6,15.4,14.1,7.2,-0.4,-10.6,-6.2
1897,-12.4,-9.7,-6.1,1.4,6.8,12.5,15.1,13.1,12.3,3.5,-6.6,-11.6
1898,-9.8,-8.3,-6.4,0.7,7.1,13.7,15.0,14.6,8.4,-0.1,-8.4,-12.5
1899,-13.2,-18.8,-10.0,0.3,7.4,12.7,15.1,15.2,8.2,2.2,-2.5,-10.8
1900,-8.6,-13.6,-5.7,3.6,9.0,13.6,15.3,16.6,9.9,4.1,-5.8,-7.5
1901,-11.0,-13.4,-5.5,2.3,7.6,13.3,18.1,14.8,9.1,3.4,-4.6,-11.4
1902,-11.7,-10.9,-3.4,0.6,9.6,11.5,14.8,14.6,6.6,2.9,-3.8,-12.2
1903,-10.0,-13.8,-4.9,1.4,7.5,10.7,15.6,14.4,7.3,2.5,-4.4,-10.0
1904,-12.4,-12.8,-5.5,-0.7,7.3,11.9,14.2,13.6,8.6,3.8,-4.3,-9.9
1905,-14.7,-16.4,-1.1,0.4,6.3,13.2,14.1,15.3,10.3,0.2,-3.8,-9.8
1906,-9.0,-9.9,-9.2,3.0,7.6,10.8,12.9,14.4,9.7,1.4,-4.3,-7.5
1907,-13.0,-8.4,-1.9,-2.5,3.7,11.8,15.5,14.1,8.6,1.8,-6.0,-8.9
1908,-9.1,-8.9,-4.2,1.3,6.2,12.1,14.9,13.6,10.2,1.8,-4.5,-9.1
1909,-12.0,-10.6,-5.3,-1.3,5.6,13.3,16.1,16.4,9.1,1.6,-3.3,-15.7
1910,-11.9,-12.3,0.2,2.2,5.1,12.7,15.2,13.2,10.1,3.1,-5.2,-9.3
1911,-10.8,-9.4,-2.9,0.4,8.1,14.6,15.0,13.2,11.6,1.5,-8.2,-10.6
1912,-16.9,-9.1,-10.3,1.6,7.4,10.7,15.9,13.9,7.5,1.9,-3.9,-8.9
1913,-12.9,-14.3,-7.4,1.9,7.6,13.8,15.5,15.6,9.0,0.1,-1.8,-8.3
1914,-6.8,-13.2,-4.8,1.6,8.1,14.5,16.5,14.7,9.9,3.8,-4.3,-15.4
1915,-13.7,-7.4,-8.4,4.9,5.8,11.1,13.8,12.4,9.4,3.3,-3.1,-8.9
1916,-16.1,-10.6,-3.8,0.7,6.2,10.6,17.7,14.9,7.8,1.3,-5.8,-15.2
1917,-12.9,-12.7,-6.9,-0.1,4.4,11.0,15.5,12.1,9.8,-1.5,-1.9,-13.7
1918,-17.4,-11.1,-2.4,-0.6,8.1,14.3,15.4,15.2,6.2,4.7,-4.3,-7.5
1919,-8.7,-10.5,-4.4,1.6,6.3,13.8,17.1,14.1,11.6,0.2,-7.8,-13.3
1920,-9.6,-8.2,-5.6,-2.0,7.8,13.1,15.2,12.7,9.2,4.1,-5.4,-9.8
1921,-7.7,-6.7,-2.4,1.1,8.3,14.8,16.6,14.8,10.0,2.6,-5.4,-9.1
1922,-14.1,-13.2,-4.8,1.9,7.6,13.7,14.5,15.8,10.4,2.0,-3.1,-10.9
1923,-8.1,-12.8,-7.7,0.3,6.7,14.0,17.2,13.9,9.6,1.7,-3.3,-8.2
1924,-16.2,-8.0,-7.1,0.8,3.3,11.8,13.8,14.8,7.7,4.9,-4.8,-15.4
1925,-14.0,-6.1,-3.3,4.7,6.5,13.5,15.5,14.5,11.5,-1.9,-5.4,-10.0
1926,-9.2,-4.9,-5.7,-0.3,9.4,11.6,16.2,15.1,9.3,3.3,-5.8,-10.4
1927,-10.9,-7.7,-4.1,2.4,7.2,12.1,14.6,12.9,9.8,3.1,-4.4,-15.4
1928,-9.6,-8.7,-3.8,-1.3,8.1,10.2,15.8,14.4,7.3,2.9,-4.1,-8.7
1929,-15.9,-15.3,-3.0,1.8,6.3,11.7,16.8,15.4,8.1,3.3,-7.1,-9.2
1930,-18.9,-3.8,-5.9,3.8,6.6,11.8,16.9,16.2,9.4,2.8,-4.3,-7.9
1931,-8.1,-5.1,-6.0,1.2,5.4,15.8,16.4,14.4,12.8,4.7,-4.7,-7.3
1932,-12.7,-7.9,-8.2,3.5,8.4,13.4,17.0,15.8,8.1,0.8,-5.1,-13.6
1933,-8.1,-13.4,-4.1,1.1,6.8,16.0,17.0,14.5,11.9,1.9,-3.6,-7.4
