year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-8.6,-7.0,-3.7,0.4,5.0,8.6,12.8,13.0,7.2,2.2,-4.9,-8.6
1896,-4.6,-5.1,-2.6,-1.7,3.4,10.9,14.9,13.3,8.4,3.4,-2.8,-3.6
1897,-5.3,-5.9,-5.8,1.2,7.4,9.3,12.6,14.2,8.4,2.9,-1.6,-7.6
1898,-11.6,-3.0,-5.1,2.8,5.0,10.3,13.8,14.3,7.8,0.9,-4.4,-8.8
1899,-4.7,-4.5,-2.0,1.0,2.5,8.6,13.3,10.2,8.4,1.9,-0.6,-7.3
1900,-3.1,-3.8,-0.6,0.8,6.3,11.4,13.2,10.4,5.9,2.4,-0.8,-5.3
1901,-6.2,-4.9,-2.5,-0.1,6.6,8.3,14.2,13.2,6.3,4.7,-0.1,-5.5
1902,-7.9,-2.6,-4.0,1.2,4.8,10.0,11.6,11.7,7.8,2.9,-2.8,-5.3
1903,-5.8,-12.2,-2.0,0.1,4.8,10.9,11.1,12.0,7.0,3.1,-1.1,-7.9
1904,-8.7,-4.0,-1.3,0.6,5.2,9.0,12.7,13.4,9.1,1.7,-2.7,-6.7
1905,-4.8,-4.2,-1.1,0.8,3.2,7.6,12.7,12.4,7.7,-0.4,-3.8,-10.6
1906,-6.7,-2.5,-2.8,1.2,4.2,7.3,13.9,12.6,7.1,1.9,-4.3,-4.0
1907,-8.2,-0.6,-1.2,2.1,3.7,6.4,11.7,10.4,6.4,4.2,-3.6,-4.3
1908,-5.4,-4.9,-2.9,0.5,1.8,6.5,14.3,11.9,7.0,0.3,-4.3,-8.0
1909,-2.8,-4.1,-2.8,0.1,3.1,10.5,11.9,12.2,7.4,2.1,-2.3,-10.1
1910,-10.4,-7.7,0.2,1.9,5.7,9.0,13.8,11.0,8.1,2.4,-1.8,-4.8
1911,-5.1,-8.3,-1.4,-0.8,2.8,9.5,13.0,10.2,6.1,0.2,-5.2,-10.1
1912,-6.7,-4.8,-2.9,-0.4,3.8,8.7,11.7,10.7,4.5,0.8,-2.8,-8.6
1913,-10.3,-7.5,-4.2,-0.7,4.6,8.2,12.2,12.4,8.2,0.8,-1.2,-8.1
1914,-4.1,-4.8,-1.5,1.9,6.1,8.5,13.5,12.8,7.5,3.3,-4.1,-11.0
1915,-8.0,-3.2,-1.8,2.6,4.3,7.7,12.4,12.5,6.9,2.0,-3.0,-5.6
1916,-9.6,-3.8,-0.9,1.3,2.8,7.5,12.1,10.6,6.8,0.4,-6.1,-9.1
1917,-15.1,-7.1,-6.5,-0.8,3.2,8.1,14.9,12.7,7.6,2.3,-1.7,-4.1
