year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-15.2,-17.2,-9.7,-1.7,5.8,11.6,11.6,10.8,6.9,-1.7,-3.9,-10.4
1896,-14.8,-13.5,-10.8,-1.2,5.9,9.2,13.6,11.7,7.1,1.0,-3.0,-12.6
1897,-13.8,-13.2,-8.3,-1.0,5.5,7.9,14.8,10.7,6.1,-0.4,-5.1,-10.2
1898,-15.4,-11.2,-5.3,-2.6,5.0,10.3,12.9,12.8,8.1,2.6,-4.3,-12.2
1899,-15.2,-14.2,-9.4,-2.9,4.0,9.9,12.3,10.8,6.2,2.5,-4.9,-8.7
1900,-15.2,-14.1,-11.6,-1.7,1.9,9.8,12.6,12.0,7.9,4.5,-2.9,-12.3
1901,-14.6,-16.4,-8.2,0.4,5.4,10.4,14.0,12.6,7.6,0.7,-7.0,-11.3
1902,-15.3,-13.1,-3.6,-0.4,3.9,7.9,11.6,9.6,8.0,1.2,-3.1,-13.6
1903,-13.9,-12.1,-3.2,-1.9,4.1,7.8,12.1,8.2,6.9,1.9,-6.4,-13.8
1904,-18.4,-17.4,-8.9,-2.2,6.7,8.9,12.3,10.0,6.1,-0.4,-8.1,-16.3
1905,-16.2,-17.7,-9.7,-2.2,4.2,8.2,13.0,9.8,7.1,0.4,-6.1,-10.3
1906,-10.4,-14.5,-11.4,-2.4,3.8,9.1,12.2,12.4,7.0,1.4,-4.3,-14.8
1907,-16.1,-18.7,-8.6,-3.4,2.2,8.4,12.3,9.4,8.7,-1.4,-4.7,-8.7
1908,-13.2,-16.1,-8.1,-3.1,6.2,8.9,13.2,10.2,7.3,1.0,-4.1,-12.3
1909,-13.1,-12.6,-8.5,-2.0,4.1,9.3,10.6,9.5,6.7,0.8,-3.0,-10.9
1910,-12.6,-15.1,-5.7,1.1,4.7,8.8,12.3,10.0,6.7,1.6,-3.7,-14.8
1911,-13.3,-15.6,-11.2,-4.1,6.8,8.8,13.2,10.9,6.2,0.7,-5.3,-6.7
1912,-18.9,-15.1,-10.6,-2.2,5.2,7.3,11.8,9.8,7.1,1.8,-3.7,-8.1
1913,-8.8,-14.6,-6.0,-0.3,3.3,7.6,11.5,9.9,5.6,5.4,-2.8,-8.7
1914,-15.6,-18.7,-7.1,-3.1,4.4,7.9,11.2,11.3,5.9,2.6,-6.3,-13.1
1915,-12.1,-10.4,-9.1,0.5,2.7,7.8,12.2,11.3,8.9,2.4,-3.2,-9.3
