year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-7.7,-11.3,-3.7,2.9,8.9,15.4,14.9,16.3,13.3,2.1,1.0,-3.4
1896,-7.4,-6.3,-5.2,4.6,11.4,13.6,17.8,16.2,11.8,5.1,2.6,-6.6
1897,-7.4,-5.3,-1.2,2.5,9.1,12.1,18.1,15.4,11.4,6.4,0.7,-3.6
1898,-4.9,-5.5,1.2,2.1,9.2,14.2,17.9,17.9,13.3,7.1,-0.3,-4.9
1899,-7.4,-9.2,-1.9,2.2,8.7,15.0,17.1,16.4,11.2,7.2,0.3,-4.3
1900,-6.4,-7.2,-4.5,3.2,8.2,14.7,17.4,18.0,14.4,9.4,2.5,-5.3
1901,-5.8,-9.3,-1.9,3.3,8.8,13.9,19.6,17.7,12.7,4.8,-2.1,-5.7
1902,-7.7,-7.8,0.3,3.3,8.7,12.8,16.8,14.6,12.3,7.1,3.4,-5.8
1903,-6.5,-5.3,2.3,3.7,9.5,12.6,16.6,14.9,11.8,7.1,-2.4,-7.5
1904,-10.6,-10.4,-2.7,1.6,9.9,13.9,16.6,15.4,11.7,3.7,-1.4,-8.3
1905,-8.3,-10.9,-2.1,2.9,9.4,13.7,17.7,15.9,12.3,5.8,-1.6,-3.6
1906,-3.0,-7.2,-3.8,3.4,9.1,15.4,17.3,18.8,14.1,7.2,0.5,-4.6
1907,-5.8,-10.9,-1.5,0.9,6.4,11.7,16.7,14.9,13.7,3.0,0.8,-2.9
1908,-6.0,-8.2,-0.5,3.5,10.5,13.6,17.7,15.4,11.9,7.1,-0.1,-4.3
1909,-5.0,-2.7,-2.4,3.4,8.9,14.8,14.7,14.5,11.4,3.3,1.6,-6.6
1910,-6.8,-6.6,-0.3,4.8,8.6,13.2,16.9,15.1,13.1,6.7,-0.9,-8.6
1911,-4.8,-5.8,-3.6,1.7,10.3,14.2,17.7,16.1,13.1,6.1,-1.0,-1.9
1912,-11.1,-8.4,-3.0,3.8,9.7,12.9,16.3,14.6,13.2,6.6,1.1,-3.3
1913,-1.8,-6.8,0.7,4.9,8.5,13.2,16.2,15.3,11.9,8.8,1.6,-2.8
1914,-5.6,-9.7,-4.1,2.4,9.3,13.2,16.2,16.6,9.6,7.8,-0.7,-5.3
1915,-4.7,-3.6,-4.0,4.8,7.8,12.9,16.4,15.8,13.4,6.7,-0.2,-5.1
1916,-4.2,-7.8,-5.7,3.0,10.2,12.4,18.1,16.3,11.0,5.2,-0.3,-5.1
1917,-6.1,-8.3,-2.1,2.8,6.0,14.2,17.8,16.8,9.7,3.2,-2.6,-9.2
1918,-11.9,-8.4,-1.8,3.3,11.2,12.6,15.4,16.8,9.9,6.7,0.7,-2.3
1919,-4.6,-4.5,0.0,3.0,9.6,14.2,17.3,15.2,12.2,9.1,0.6,-7.4
1920,-9.8,-7.4,-2.6,2.5,7.1,13.7,15.5,17.3,12.8,7.2,0.9,-2.4
1921,-5.3,-4.6,2.4,6.4,8.7,13.7,18.8,14.4,14.6,4.7,1.5,-5.3
1922,-8.1,-4.8,-0.8,3.6,9.7,15.8,16.6,15.6,12.2,6.3,0.7,-4.8
1923,-5.9,-8.8,-3.3,2.6,7.3,14.9,15.2,14.4,12.9,4.9,-0.2,-0.5
1924,-6.3,-7.0,-1.9,2.1,7.9,13.0,15.4,15.2,10.3,4.1,-0.8,-4.9
1925,-8.2,-3.0,-0.8,3.7,6.3,15.6,15.8,14.4,13.7,3.5,-0.7,-3.6
1926,-6.4,-6.5,-4.5,1.3,7.2,11.4,16.3,17.1,12.3,5.4,-0.6,-7.1
1927,-6.8,-3.1,-0.8,1.6,8.1,11.6,16.4,13.6,11.6,6.8,2.6,-3.5
1928,-5.9,-6.0,-2.2,1.7,7.7,13.6,17.3,18.0,11.2,5.8,1.5,-3.3
1929,-6.3,-6.4,0.6,4.4,8.4,13.9,15.8,13.9,12.5,4.3,1.6,-4.4
1930,-5.6,-4.7,-2.3,1.9,9.6,14.7,16.7,14.6,14.0,4.1,0.9,-4.3
1931,-5.8,-5.2,-1.0,2.9,8.9,14.0,18.7,16.9,14.8,7.3,4.2,-1.6
1932,0.7,-3.9,-3.3,1.9,8.9,13.9,16.3,15.6,11.9,7.2,-1.0,-3.7
1933,-2.1,-5.4,-1.7,3.9,10.9,14.6,16.4,16.9,14.1,4.8,-1.2,-5.7
1934,-4.6,-14.4,-4.2,2.6,9.6,15.8,17.6,14.8,14.0,5.0,2.4,-4.8
1935,-7.8,-6.9,-0.5,3.2,7.1,13.7,18.2,16.3,10.8,4.9,3.6,-6.4
1936,-8.1,-10.2,1.2,2.3,9.0,13.9,16.4,16.6,13.0,6.6,-1.2,-2.7
1937,-1.2,-4.7,-3.3,3.2,9.1,14.8,16.9,17.8,10.2,5.3,0.1,-4.6
1938,-5.9,-4.1,-0.5,4.4,8.6,13.6,17.7,17.2,11.1,6.2,0.6,-3.6
1939,-6.1,-3.8,-2.0,2.8,9.8,14.7,16.2,17.9,12.0,5.8,-1.0,-3.6
1940,-11.2,-5.6,-3.7,1.3,9.1,13.6,16.3,14.9,10.3,3.7,1.1,-2.7
1941,-6.4,-6.9,-4.7,5.1,8.8,13.9,17.1,14.6,11.8,8.1,1.1,-2.6
1942,-7.5,-6.8,-0.2,3.9,10.9,14.8,17.4,16.1,12.4,6.8,0.7,-6.2
1943,-6.0,-5.8,-2.4,0.5,9.8,17.0,17.0,15.7,10.9,5.6,-0.7,-6.8
1944,-5.1,-5.3,-2.9,2.3,11.1,14.6,16.9,16.0,13.2,4.9,0.7,-5.9
1945,-9.8,-5.6,2.3,5.4,8.1,14.2,17.5,15.2,14.4,5.2,1.7,-6.4
1946,-5.3,-5.9,1.6,2.9,9.1,12.9,16.2,14.6,12.7,7.6,2.6,-3.7
1947,-3.0,-8.0,-3.4,3.5,8.6,12.9,17.0,17.4,13.0,7.9,-0.2,-5.6
1948,-9.9,-7.5,-1.3,3.8,9.3,14.1,17.3,16.7,11.6,5.4,3.6,-3.4
1949,-1.9,-2.7,-0.7,3.9,9.1,15.1,19.1,16.7,10.9,9.1,0.0,-3.1
1950,-0.9,-5.3,-3.8,1.9,8.6,13.2,16.2,15.3,11.4,7.4,1.3,-5.1
1951,-4.4,-4.6,-0.6,3.9,9.1,13.9,17.1,15.6,11.5,7.8,-1.3,-3.3
1952,-3.6,-3.5,-1.4,5.6,8.3,15.2,18.1,16.4,11.8,3.5,1.3,-2.5
1953,-2.8,-3.1,0.3,4.6,11.0,14.2,16.6,15.2,12.1,6.1,0.3,-2.3
1954,-7.1,-2.6,-1.3,4.7,8.3,13.9,15.7,15.3,12.8,8.3,0.1,-4.0
1955,-6.4,-5.7,-0.8,5.3,9.8,12.9,19.4,18.7,12.3,7.2,0.0,-7.3
1956,-5.4,-3.3,-2.8,2.1,7.2,14.3,16.4,15.9,11.2,6.7,1.3,-0.9
1957,-7.9,-2.9,-0.8,4.9,9.1,15.7,16.2,14.3,13.3,5.1,2.3,-1.7
1958,-6.0,-7.9,-0.9,4.6,8.5,12.3,18.6,16.4,11.4,5.9,1.9,-8.1
1959,-6.8,-6.4,-2.2,4.7,10.7,14.6,17.7,18.0,13.7,8.8,0.8,-2.6
1960,-4.1,-3.4,-5.8,5.1,9.0,14.2,16.0,17.1,13.1,5.6,1.2,-8.7
1961,-10.1,-4.8,-0.8,2.6,8.0,14.1,17.5,17.0,15.8,6.8,2.3,-4.6
1962,-6.7,-6.3,-1.8,3.9,9.6,14.6,15.1,15.3,10.5,6.2,-0.6,-6.6
1963,-7.9,-9.6,-0.4,3.2,7.7,13.7,16.6,14.8,9.9,6.2,3.4,-7.1
1964,-6.0,-6.4,-1.1,3.1,9.4,13.5,17.7,14.4,11.8,3.9,0.9,-3.1
1965,-8.0,-6.2,-2.3,2.4,10.6,13.2,16.0,15.8,13.4,4.6,0.6,-3.1
1966,-6.7,-5.7,-0.9,2.2,7.8,14.2,16.9,16.4,11.9,4.6,1.7,-3.8
1967,-3.4,-8.0,-2.9,3.0,5.9,14.2,17.4,16.7,10.7,5.4,-0.9,-3.1
1968,-8.8,-8.0,-0.3,3.7,8.0,14.2,17.3,16.8,12.3,7.4,2.3,-5.3
1969,-6.4,-4.9,-2.7,4.6,9.3,15.1,17.4,16.8,12.5,5.2,0.9,-4.7
1970,-10.2,-6.1,-2.4,3.3,10.0,14.1,17.6,16.8,13.4,7.8,2.9,-3.6
1971,-8.7,-4.7,-1.8,1.9,7.9,15.1,16.4,15.7,15.4,10.6,1.1,-0.9
1972,-4.8,-6.7,-1.9,1.9,9.2,13.7,18.1,15.8,13.1,3.9,0.6,-0.6
1973,-4.7,-6.1,1.9,5.1,8.6,16.8,17.8,17.9,12.8,6.6,2.0,-2.3
1974,-4.0,-6.6,-0.6,4.9,9.1,13.7,16.8,16.8,12.3,3.7,1.5,-1.9
1975,-3.4,-3.7,-1.6,1.6,11.1,15.2,17.6,17.0,11.6,8.7,3.7,-3.3
1976,-8.3,-3.1,0.1,4.7,8.7,15.9,16.2,15.7,11.2,4.9,-1.9,-7.4
1977,-12.0,-5.7,1.4,4.3,9.4,13.3,17.3,16.9,14.2,5.7,3.8,-4.5
1978,-7.7,-10.8,-2.7,3.2,8.8,13.8,16.3,18.5,11.3,4.8,2.2,-3.3
1979,-5.3,-10.7,0.3,4.0,10.9,12.9,17.2,17.1,12.9,6.4,3.4,-2.3
1980,-5.3,-7.4,-1.9,5.0,10.3,12.6,17.8,18.2,13.7,5.5,-0.3,-6.6
1981,-10.1,-3.6,-2.0,5.3,9.2,15.1,18.1,15.8,12.7,4.4,1.5,-4.1
1982,-10.7,-4.2,-1.8,2.1,10.1,13.4,17.0,14.7,12.3,6.0,2.6,-0.4
1983,-4.8,-4.9,1.1,4.2,8.7,14.2,17.6,17.2,12.3,7.1,1.8,-4.6
1984,-8.6,-1.9,-3.4,3.9,9.2,15.3,17.2,17.6,10.4,9.3,0.3,-0.6
