year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.2,-7.8,-1.6,2.6,7.4,10.9,13.4,13.1,9.4,3.5,-3.2,-7.7
1896,-5.8,-5.6,-1.3,1.9,7.7,13.3,15.0,14.1,11.0,5.1,-2.1,-5.4
1897,-6.7,-4.1,-2.6,2.4,8.8,12.0,14.2,13.9,11.6,4.7,-1.7,-7.2
1898,-7.9,-3.4,-2.2,3.6,6.9,12.5,15.4,14.3,9.1,2.6,-3.6,-8.8
1899,-8.4,-7.3,-1.3,2.6,5.8,11.7,15.3,13.9,10.3,4.0,-1.8,-6.1
1900,-4.8,-5.3,-0.7,1.0,7.9,12.3,14.8,13.3,10.8,4.8,-1.4,-6.9
1901,-6.1,-4.0,-2.9,0.9,7.8,11.4,15.1,15.1,10.0,4.7,-0.7,-6.6
1902,-6.2,-4.6,-3.3,3.3,7.4,12.7,13.1,14.0,9.1,3.7,-1.6,-5.6
1903,-5.8,-7.7,-2.8,2.5,5.8,10.9,14.3,14.3,9.6,2.0,-2.4,-8.3
1904,-9.3,-2.9,0.2,2.4,7.2,11.5,13.9,13.9,10.6,4.6,-3.2,-6.2
1905,-5.9,-4.6,1.7,2.5,6.8,12.5,12.9,13.6,10.5,3.3,0.2,-8.1
1906,-7.1,-3.7,-1.3,2.7,6.4,11.1,14.0,13.2,9.6,2.2,-1.9,-2.5
1907,-2.7,-2.4,0.4,2.2,4.8,9.5,14.2,14.5,9.8,5.2,-2.1,-5.4
1908,-6.3,-4.1,0.3,3.1,5.2,10.4,14.1,13.8,8.6,1.1,-4.1,-5.6
1909,-3.7,-4.9,-3.1,1.2,5.0,11.8,15.4,14.8,9.1,3.1,-1.2,-9.5
1910,-5.3,-6.6,0.6,2.5,7.4,12.4,14.9,14.7,11.1,3.3,-0.8,-5.3
1911,-2.6,-3.3,1.3,3.5,7.1,12.2,14.7,13.8,12.2,3.6,-3.8,-9.6
1912,-8.0,-6.6,-1.9,0.6,6.4,10.9,14.1,13.7,7.6,3.1,-4.4,-9.5
1913,-9.4,-6.1,-3.3,1.2,6.9,11.1,13.9,13.9,8.0,2.9,0.6,-7.6
1914,-3.9,-5.4,-2.8,2.7,7.6,12.8,14.6,13.5,10.4,3.9,-1.3,-6.3
1915,-8.3,-4.4,-3.4,3.4,5.3,10.8,14.3,12.6,9.5,2.5,-3.2,-6.1
1916,-4.2,-3.3,0.4,2.1,6.1,11.3,14.6,13.9,9.3,4.2,-4.3,-7.7
1917,-6.6,-5.1,-4.4,0.6,4.2,10.6,15.3,13.6,10.6,2.7,-1.9,-5.8
1918,-9.0,-3.7,0.3,1.5,6.6,13.6,14.9,13.9,9.2,4.7,-3.4,-8.1
1919,-10.2,-6.4,-2.2,3.3,7.6,10.6,14.8,14.1,11.3,4.6,-2.7,-5.2
1920,-5.4,-1.9,-2.6,-0.2,7.1,11.2,13.9,12.8,9.8,3.1,-2.6,-7.8
1921,-5.1,-4.7,0.1,0.5,7.1,11.3,14.8,14.2,10.9,4.4,-2.6,-3.4
1922,-8.4,-5.1,-3.3,1.6,7.3,12.4,14.9,14.7,11.1,3.6,-2.7,-3.8
1923,-4.3,-5.1,-3.2,2.9,7.1,11.7,14.9,14.0,9.1,3.2,-1.8,-5.8
1924,-8.7,-4.7,-4.0,1.4,6.6,12.3,14.5,13.7,8.6,3.5,-1.9,-8.7
1925,-9.6,-3.8,-0.9,3.6,8.5,12.8,15.2,13.3,10.2,4.1,-3.4,-7.4
1926,-8.7,-3.5,-1.8,2.9,7.1,11.7,13.7,12.9,11.4,5.2,-1.9,-6.3
1927,-4.6,-1.7,-2.2,2.7,7.4,11.3,14.9,13.6,10.4,3.1,-0.1,-7.7
1928,-6.7,-5.0,-0.6,1.0,7.7,11.2,14.6,13.2,8.6,5.0,-2.2,-6.9
1929,-7.4,-7.7,-2.2,1.9,6.8,11.3,14.8,14.0,10.1,4.1,-5.2,-6.9
1930,-9.2,-3.4,-3.4,3.8,5.3,12.2,14.7,13.7,9.1,3.9,-3.3,-8.7
1931,-7.6,-2.4,-3.5,2.6,6.2,12.2,14.7,13.2,12.2,5.1,-2.7,-7.3
1932,-8.8,-2.2,-3.3,2.0,6.7,10.7,14.7,14.2,8.9,2.9,-3.4,-8.8
1933,-7.7,-9.0,-1.7,-0.5,5.0,12.2,14.9,13.9,11.8,5.1,-2.2,-4.8
1934,-7.5,-3.2,-1.4,3.8,9.1,11.7,15.4,15.0,9.4,4.6,-1.5,-5.3
1935,-4.5,-4.7,-0.9,3.2,6.1,11.7,14.8,14.6,9.3,4.3,-2.8,-6.0
1936,-7.0,-4.4,-1.4,2.4,8.2,12.6,14.4,14.2,10.2,3.4,-3.5,-5.9
1937,-10.7,-5.3,-2.9,1.8,7.9,11.6,14.4,14.6,11.0,4.6,-2.7,-5.2
1938,-6.1,-3.5,-0.7,1.9,6.3,12.3,13.7,13.6,10.1,4.3,-5.5,-5.7
1939,-6.4,-9.3,-1.7,2.4,7.0,11.8,14.3,13.1,11.1,2.6,-2.9,-5.5
1940,-7.4,-5.0,-1.4,1.8,7.4,11.7,14.6,13.3,10.8,4.3,-3.2,-3.7
1941,-5.0,-2.4,-1.8,1.8,8.1,10.3,13.3,13.2,9.8,5.0,-2.3,-4.9
1942,-6.8,-7.1,-4.0,2.7,5.5,10.9,13.8,13.4,9.0,3.9,-1.7,-4.5
1943,-5.7,-4.2,-2.4,3.6,6.8,11.9,14.3,15.0,9.6,2.6,-4.3,-7.2
1944,-8.7,-4.7,-3.7,0.3,6.1,10.9,14.1,13.8,9.4,4.9,-2.2,-6.7
1945,-6.4,-3.9,-2.7,-0.1,6.6,9.3,14.0,14.6,9.4,4.2,-3.4,-8.0
1946,-8.0,-6.7,-1.8,4.3,5.8,12.0,14.4,14.5,11.2,3.7,-3.1,-4.7
1947,-8.4,-5.3,-2.7,1.1,7.6,10.8,14.6,14.3,10.3,4.9,-4.4,-7.6
1948,-8.4,-5.4,-4.5,3.3,7.3,12.0,14.2,13.7,9.9,3.7,-5.6,-4.7
1949,-8.6,-5.9,-2.0,2.0,6.8,11.3,14.6,12.7,10.6,2.7,-2.1,-7.7
