year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-2.4,-6.3,2.2,7.1,11.4,17.1,18.5,18.9,17.0,5.3,4.0,-0.6
1896,-2.3,-0.4,1.6,9.9,16.2,17.6,20.3,19.0,14.8,7.5,5.8,-2.1
1897,-3.1,1.2,5.1,7.2,11.4,17.7,19.4,18.1,14.4,10.2,3.4,0.7
1898,0.8,-2.5,6.3,5.6,13.2,17.4,19.9,19.8,16.5,9.8,2.4,-0.6
1899,-1.6,-3.2,3.5,6.7,13.5,17.9,18.6,19.6,14.2,9.8,3.7,-1.7
1900,-2.1,-2.2,1.6,7.8,12.1,18.0,20.0,19.8,16.7,12.1,4.6,-1.3
1901,-1.7,-3.2,3.2,4.9,12.9,17.3,20.6,19.5,15.2,7.4,-0.7,-2.3
1902,-3.2,-3.7,3.3,6.6,14.0,16.9,19.3,17.8,14.2,9.2,6.0,-0.7
1903,-1.4,0.2,7.6,7.4,13.1,15.6,19.0,19.1,14.2,7.7,1.2,-4.2
1904,-4.3,-3.1,3.4,5.9,11.8,16.5,18.3,18.3,14.6,6.3,1.3,-2.1
1905,-4.3,-4.5,4.3,7.6,14.8,17.3,19.4,17.8,15.8,8.4,2.4,-0.8
1906,0.8,-1.9,1.6,7.7,11.7,17.7,19.2,20.4,17.8,9.1,1.9,-0.3
1907,1.4,-2.4,5.4,4.3,11.6,14.8,19.2,18.1,16.0,6.1,2.4,-0.7
1908,-2.8,-2.2,5.9,9.5,12.9,16.2,19.2,18.1,13.4,7.9,3.2,0.8
1909,0.5,1.6,2.3,8.2,11.6,18.3,17.4,17.4,13.9,5.3,4.0,-3.7
1910,-2.2,-1.9,5.3,7.6,11.2,15.8,19.6,18.4,16.2,10.1,-0.2,-4.1
1911,0.5,1.0,1.7,6.2,12.8,17.6,18.6,19.1,17.9,11.1,1.6,0.9
1912,-4.8,-3.5,2.8,9.2,13.4,16.1,19.1,18.0,17.7,8.9,0.9,0.2
1913,3.0,-0.3,5.4,7.2,12.4,16.4,19.8,18.3,14.2,8.8,1.6,0.2
1914,-0.5,-2.9,0.0,7.7,11.9,18.4,18.4,19.0,13.4,10.5,1.2,-0.4
1915,-1.2,0.3,-1.4,7.2,13.7,16.0,18.9,18.7,16.1,10.5,3.1,-2.6
1916,1.4,-1.2,1.6,6.3,13.8,15.9,19.6,18.9,13.5,8.9,2.4,-1.8
1917,0.4,-1.7,3.1,7.7,9.7,16.2,19.3,17.7,14.1,5.2,0.4,-5.8
1918,-6.2,0.8,5.3,6.9,14.4,16.3,16.6,18.8,12.1,10.6,2.6,2.1
1919,-1.5,-1.0,3.9,6.5,13.4,16.8,19.0,17.9,13.6,14.8,3.6,-1.8
1920,-2.3,-2.2,2.1,7.4,10.3,16.1,18.2,18.7,16.2,8.2,2.5,0.0
1921,-0.8,0.8,7.8,8.7,11.6,17.4,19.9,18.3,18.3,7.5,5.2,0.4
1922,-1.2,2.6,4.6,9.2,13.3,18.0,19.7,17.2,15.4,9.1,2.3,1.7
1923,0.1,-1.3,3.6,6.7,11.9,17.3,18.6,19.0,16.1,7.3,2.4,2.7
1924,-3.1,-1.8,1.7,6.6,11.3,17.7,18.3,18.4,13.8,6.9,2.9,-0.3
1925,-1.3,2.0,3.8,8.9,10.2,18.1,19.4,16.9,17.9,8.7,2.4,-0.9
1926,-2.0,0.6,-0.3,5.8,11.1,16.0,19.1,20.0,17.2,9.4,1.3,0.2
1927,-1.4,4.1,3.9,7.6,13.0,16.1,18.3,17.1,15.1,9.4,5.1,-0.5
1928,-2.7,-0.9,2.7,6.5,11.1,16.9,19.4,19.6,14.1,10.3,3.1,-0.8
1929,-0.8,-1.3,5.6,9.0,12.4,16.0,18.3,17.6,15.6,7.7,5.4,-0.8
1930,-0.3,0.5,1.8,7.3,13.4,15.6,19.7,16.4,17.8,6.5,2.8,-2.5
1931,-2.1,-1.0,0.7,6.3,11.6,16.2,20.4,18.2,16.2,8.1,5.1,3.5
1932,4.1,3.0,1.0,6.7,11.9,17.3,19.3,18.2,14.9,9.2,2.4,1.6
1933,2.3,0.3,2.7,7.1,14.9,16.8,18.3,18.9,17.4,8.4,1.8,2.2
1934,0.3,-4.7,1.4,7.9,12.2,18.4,20.6,19.8,17.1,7.8,3.7,-1.1
1935,-0.7,-0.6,5.9,7.7,11.9,16.8,19.6,18.7,15.1,7.7,5.7,-4.4
1936,-3.4,-2.9,4.7,6.6,12.2,16.4,19.5,19.3,16.3,10.8,2.4,1.1
1937,5.9,-0.3,1.2,7.3,11.8,17.8,18.7,19.2,13.8,7.7,1.2,-1.3
1938,-1.1,2.4,5.8,8.1,13.4,16.4,18.9,19.2,15.6,7.3,4.2,-0.8
1939,-0.4,2.3,4.4,7.2,12.2,19.2,18.7,18.8,15.8,9.4,0.8,-0.8
1940,-7.4,-0.8,1.5,6.4,11.3,17.7,18.4,18.8,13.2,7.1,2.9,1.3
1941,-1.8,-3.8,-0.5,8.6,11.9,17.3,20.2,18.7,15.7,11.4,2.0,0.4
1942,-2.9,-2.8,3.8,7.2,13.6,18.1,20.0,18.4,15.7,9.4,3.6,-1.2
1943,-0.4,-0.9,1.9,6.1,13.8,19.4,19.4,18.5,12.8,6.7,0.8,-1.8
1944,-1.9,1.0,2.2,7.1,13.9,17.8,17.9,17.6,16.2,7.8,2.6,-3.4
1945,-2.0,0.3,7.7,9.7,10.9,17.1,19.4,17.9,17.6,7.7,3.7,-2.9
1946,-0.2,-0.2,6.7,7.7,12.6,16.2,18.5,17.1,14.9,8.9,5.8,0.3
1947,1.9,-5.2,-0.9,9.0,12.6,16.1,16.9,19.1,15.9,11.7,3.0,-2.2
1948,-4.3,-0.1,5.2,9.3,12.7,16.9,19.5,17.4,14.4,6.2,6.4,1.3
1949,3.7,3.4,3.0,7.4,12.6,17.9,20.6,19.2,14.3,11.6,1.7,0.6
1950,5.2,1.3,1.8,6.0,13.7,16.9,18.8,17.2,15.0,10.7,0.6,-3.3
1951,-1.1,-1.0,3.4,7.1,10.9,16.9,18.7,18.8,15.0,10.6,1.0,0.1
1952,1.7,0.6,2.4,7.8,12.7,19.1,19.1,18.7,14.6,5.4,2.6,-1.0
1953,1.2,1.3,4.0,7.3,15.4,17.2,18.9,17.7,14.1,8.8,1.6,-0.3
1954,-1.3,0.9,2.6,9.9,10.3,16.3,18.7,18.4,15.1,8.6,1.7,-2.3
1955,-2.2,-1.1,4.6,9.5,13.2,14.1,20.0,19.7,16.6,7.9,1.7,-3.0
1956,-2.9,1.8,2.2,6.6,12.7,16.6,19.1,18.1,14.0,11.3,2.4,3.8
1957,-0.4,2.6,3.1,9.1,13.4,18.0,18.0,17.0,16.8,7.1,4.5,0.2
1958,-4.1,-4.6,1.8,8.1,13.2,16.5,20.1,18.8,13.8,7.7,4.8,-3.7
1959,-3.0,0.8,1.5,8.4,14.3,16.1,19.5,19.3,15.6,11.3,2.8,-0.4
1960,-0.6,-1.3,-3.0,8.6,11.5,17.0,18.5,19.4,15.7,9.7,2.5,-5.1
1961,-4.6,0.7,4.8,5.2,10.9,16.1,18.7,18.7,16.2,6.7,5.1,-0.7
1962,-2.3,0.6,1.7,6.3,14.3,16.9,18.2,17.8,13.9,9.3,2.8,-2.8
1963,-3.9,-4.3,4.2,8.1,11.4,16.4,17.7,17.6,13.2,7.4,3.1,-4.8
1964,-2.3,-2.4,2.8,8.4,12.5,17.2,18.7,17.9,14.4,6.2,4.3,1.1
1965,-2.1,-1.2,1.6,7.8,14.3,16.1,18.7,18.2,15.8,7.2,3.3,-1.3
1966,-3.4,-0.7,1.7,6.7,12.2,14.8,18.6,18.3,14.2,7.1,2.6,-1.2
1967,-0.3,-2.3,3.2,8.1,10.4,15.3,18.2,17.7,11.6,7.0,0.4,1.1
1968,-3.9,-5.4,2.4,7.4,11.2,16.4,19.1,19.1,13.4,9.1,3.5,-2.8
1969,-3.0,-0.9,-0.2,8.0,11.7,17.8,19.8,17.4,14.4,8.9,1.4,-2.0
1970,-5.3,-2.4,2.4,8.3,12.4,16.3,18.9,18.8,16.5,10.2,3.0,-0.1
1971,-2.0,-1.5,1.2,5.2,11.0,17.6,18.8,18.2,16.5,13.2,2.9,4.3
1972,1.1,-1.4,2.7,6.6,11.7,14.1,18.6,18.0,15.2,7.9,3.2,2.6
1973,-1.8,-2.6,6.3,7.3,11.2,17.9,18.7,18.8,16.4,9.2,3.8,-0.3
1974,4.7,-0.3,4.9,7.6,13.0,15.6,18.2,18.8,14.7,5.3,2.5,0.2
1975,0.4,1.4,2.3,6.4,13.9,16.7,18.5,19.0,15.9,10.1,4.3,-1.1
1976,-3.5,1.8,5.3,6.5,11.4,16.3,18.1,17.0,13.2,6.0,-0.5,-2.8
1977,-7.4,-3.2,5.2,8.9,13.0,16.1,19.5,19.1,16.4,7.3,5.8,-1.1
1978,-4.4,-4.9,1.8,7.8,11.9,16.5,18.6,19.3,15.9,6.7,6.1,-0.6
1979,-3.1,-3.6,3.4,8.3,12.7,15.0,18.4,18.2,16.4,7.4,4.7,-0.9
1980,-0.2,-4.0,1.9,7.6,12.3,15.8,19.3,18.9,17.2,7.4,1.9,-1.7
1981,-5.6,-1.2,0.3,8.9,10.7,19.0,19.6,17.6,12.9,6.5,2.6,-1.9
1982,-4.3,1.1,3.8,6.3,13.3,17.1,19.5,17.9,14.1,8.4,4.8,3.0
1983,-1.6,-0.8,4.1,5.9,11.6,15.8,18.9,18.9,14.6,9.4,3.1,-1.7
1984,-3.3,0.7,1.9,6.9,11.6,17.2,18.6,18.7,13.1,12.7,1.4,3.1
1985,-4.4,-0.4,3.7,8.2,12.8,16.6,18.9,18.2,14.3,12.1,9.7,-2.5
1986,-3.3,1.4,2.6,7.6,12.7,18.0,20.3,18.4,15.9,10.3,7.1,0.2
1987,-2.0,-1.3,2.2,6.5,13.6,17.9,19.7,19.8,16.1,4.2,3.9,0.8
1988,-4.1,-1.4,2.4,6.7,11.1,14.9,18.9,20.1,15.1,5.1,3.6,-1.9
1989,0.7,0.5,4.1,7.0,10.8,18.4,19.5,18.8,16.1,8.6,4.1,-4.7
1990,1.6,3.1,5.4,7.1,12.7,16.6,19.6,19.2,14.7,9.9,3.6,2.8
1991,0.2,1.1,5.0,9.6,15.7,17.4,20.8,19.3,14.9,8.2,2.6,1.0
1992,-0.3,1.3,2.5,7.1,10.6,16.1,20.2,18.1,15.9,6.8,5.1,0.4
1993,1.3,-1.6,2.1,5.9,13.0,17.1,20.7,18.7,15.9,8.3,3.7,-1.3
1994,-3.6,-0.2,3.8,8.8,10.3,18.5,20.3,18.0,13.8,8.0,5.3,2.6
1995,-0.3,-1.1,3.8,7.8,12.8,17.1,19.9,19.9,15.1,9.8,1.5,-2.6
1996,-2.2,-0.6,1.1,7.2,13.0,17.2,19.2,18.3,15.2,8.7,1.5,0.9
1997,-1.0,1.8,5.4,5.6,9.5,15.6,19.3,16.9,14.8,8.6,2.3,-0.1
1998,1.6,2.3,3.8,8.3,14.1,18.2,19.9,18.7,16.3,8.8,4.3,2.7
1999,0.7,0.5,1.2,9.1,11.7,16.8,20.4,19.3,14.4,8.4,5.5,-0.3
2000,-2.0,0.6,4.7,7.3,13.6,17.9,18.7,18.3,15.3,7.4,2.2,-4.0
2001,-2.2,1.5,2.3,8.3,12.1,17.9,18.3,19.1,13.8,6.3,4.8,2.6
2002,-0.6,-0.1,3.7,10.0,11.6,17.3,19.9,18.8,17.2,12.1,3.0,-0.9
2003,-3.2,-0.2,5.4,7.9,13.4,16.9,19.7,20.2,15.2,8.7,6.3,-1.7
2004,-2.9,-0.9,4.2,7.9,15.5,18.4,19.6,18.2,16.2,11.1,5.4,-1.0
2005,0.3,0.7,2.1,7.4,10.7,17.7,20.9,20.3,16.9,10.7,4.1,-1.5
2006,2.0,-0.7,3.1,8.9,11.0,16.8,19.5,20.2,14.6,7.8,4.4,1.3
2007,0.9,-2.4,4.6,6.9,11.8,17.1,18.4,20.4,15.7,12.0,2.7,2.6
2008,-1.6,1.2,3.4,8.7,11.4,18.2,18.6,18.3,16.3,7.6,2.0,2.1
2009,-2.0,-0.8,3.6,7.8,14.1,18.1,18.2,19.9,15.7,9.1,5.8,-0.6
2010,-3.2,-2.4,3.3,8.3,14.8,20.0,20.4,20.4,16.1,8.8,3.0,-4.3
2011,-3.3,0.7,3.8,9.6,13.3,18.4,20.6,19.4,16.4,7.8,4.4,1.9
2012,0.3,1.2,7.9,8.3,14.9,15.8,21.0,19.2,15.1,9.3,1.3,2.9
2013,1.1,-0.4,0.4,8.3,12.4,18.2,20.3,18.7,14.9,10.3,2.2,1.3
2014,-4.7,0.1,0.8,8.0,13.6,18.1,18.8,18.4,17.2,9.6,1.2,1.9
2015,-1.7,-4.4,3.9,9.3,13.8,19.3,20.3,18.8,16.9,9.6,6.8,7.4
2016,-2.0,0.7,6.8,7.8,13.1,18.0,21.0,20.9,18.1,10.9,3.6,1.1
2017,2.1,3.1,3.0,11.5,13.8,17.5,20.4,19.2,15.7,10.6,3.5,0.3
2018,-4.3,5.2,2.1,6.3,16.3,19.1,19.7,19.9,19.8,11.2,3.6,2.1
2019,0.1,3.1,3.0,9.8,15.9,17.8,20.3,19.4,17.7,12.2,2.4,2.2
2020,2.3,2.9,7.6,7.2,11.8,17.7,20.8,20.6,16.0,11.3,6.2,-0.3
2021,-0.3,0.7,5.2,7.3,11.7,17.8,19.6,20.2,15.4,12.1,1.8,3.9
2022,-2.3,1.1,4.8,7.7,14.3,17.4,20.8,19.5,15.2,7.6,5.7,-0.3
2023,2.2,4.7,4.4,8.7,11.9,15.7,20.3,19.6,15.8,9.3,,
