year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-25.1,-19.6,-11.6,1.3,4.6,8.3,11.7,9.2,4.6,-4.0,-12.1,-15.8
1896,-20.1,-16.1,-15.4,-1.2,6.9,11.4,12.2,9.4,3.9,-3.8,-18.3,-13.4
1897,-20.8,-19.7,-17.5,-0.8,4.8,9.8,13.2,9.7,8.6,-0.1,-12.6,-17.1
1898,-16.3,-17.1,-12.6,-1.9,3.8,10.3,12.3,10.9,5.4,-1.9,-11.3,-16.8
1899,-20.4,-24.0,-20.2,-3.4,4.2,10.1,12.6,11.0,4.4,-0.9,-3.9,-16.3
1900,-15.2,-22.9,-12.4,1.6,6.2,11.4,12.1,13.9,6.4,2.0,-12.1,-13.1
1901,-18.8,-19.6,-9.1,0.2,7.1,10.1,15.2,11.4,5.2,0.6,-9.6,-15.8
1902,-16.7,-17.0,-7.8,-2.0,6.6,8.1,12.1,10.3,3.0,-1.8,-8.2,-20.3
1903,-18.2,-23.3,-11.6,-1.7,4.1,9.4,11.4,10.6,3.9,0.2,-10.3,-17.1
1904,-21.2,-25.2,-13.9,-2.3,4.8,9.8,10.4,9.1,5.1,0.7,-5.9,-15.8
1905,-23.0,-19.6,-5.9,-3.4,3.0,9.4,12.1,12.5,7.1,-2.3,-6.6,-14.8
1906,-16.7,-17.9,-13.3,1.5,4.6,10.7,12.9,12.0,8.6,-0.2,-8.7,-18.6
1907,-26.4,-17.4,-10.8,-5.5,-0.4,10.2,11.9,10.2,3.8,-1.7,-8.3,-13.1
1908,-15.1,-15.3,-12.0,-0.9,3.7,10.0,12.8,9.2,8.1,-0.2,-6.5,-15.0
1909,-21.4,-17.2,-9.2,-4.9,4.1,11.3,13.6,12.8,6.9,-1.3,-8.2,-19.6
1910,-18.3,-22.2,-2.3,0.2,2.3,11.8,12.8,9.3,5.7,0.7,-9.7,-16.5
1911,-24.5,-20.4,-7.6,-1.8,4.9,12.6,10.6,10.0,5.8,-0.1,-14.6,-13.6
1912,-26.0,-16.7,-16.1,-0.5,5.9,9.6,12.4,11.0,4.5,-0.8,-5.8,-13.5
1913,-22.9,-19.6,-14.5,0.8,3.9,11.8,11.6,12.4,6.0,-2.4,-5.2,-11.8
1914,-15.9,-23.4,-9.1,-1.2,5.3,10.7,14.9,10.2,6.7,1.8,-6.9,-20.3
1915,-20.2,-13.2,-11.2,2.2,3.9,7.4,10.7,9.9,5.9,0.3,-7.5,-14.6
1916,-27.7,-19.5,-11.6,-1.8,3.5,8.5,16.3,11.3,5.1,-2.2,-8.7,-22.6
1917,-23.0,-24.1,-10.9,-2.6,2.0,7.7,13.3,9.7,5.6,-4.8,-3.9,-23.2
1918,-23.8,-18.6,-5.3,-1.7,3.4,10.6,11.2,11.8,3.0,0.5,-7.1,-12.8
1919,-13.1,-18.7,-13.4,-0.1,5.9,12.8,14.1,11.9,7.9,-6.0,-13.9,-18.5
1920,-21.7,-16.3,-11.4,-5.4,4.8,10.3,13.2,12.0,7.4,1.7,-7.9,-14.7
1921,-15.2,-13.2,-10.2,-2.1,5.2,13.8,14.6,11.0,7.3,0.8,-11.3,-13.7
1922,-20.1,-23.8,-8.2,-0.4,7.2,11.7,11.6,12.9,7.5,-0.3,-4.2,-18.6
1923,-18.4,-22.0,-14.1,-2.7,4.6,12.0,15.1,9.7,7.3,-0.2,-4.1,-11.9
1924,-23.2,-12.5,-8.8,-2.1,0.9,8.4,11.4,9.8,5.2,2.5,-8.1,-22.0
1925,-19.5,-14.6,-8.9,1.5,3.4,10.2,11.7,11.0,7.4,-4.6,-8.2,-13.9
1926,-15.1,-10.8,-10.1,-2.9,6.6,8.8,13.3,11.2,4.3,-0.8,-10.2,-18.7
1927,-17.7,-15.7,-6.1,-0.4,3.8,9.8,12.0,9.8,6.4,0.9,-11.1,-24.6
1928,-16.5,-13.3,-8.6,-4.6,6.1,7.9,13.2,10.6,4.2,-1.3,-7.3,-12.0
1929,-27.0,-23.0,-6.7,-1.9,1.8,8.8,13.0,11.0,4.3,0.8,-9.3,-17.1
1930,-24.3,-11.1,-9.0,1.2,3.6,10.7,13.9,13.2,5.3,-1.2,-8.0,-12.0
1931,-12.0,-7.9,-9.2,-1.5,3.4,12.7,13.7,11.9,7.8,1.5,-7.3,-11.7
1932,-18.4,-16.9,-12.7,0.3,5.8,12.9,13.2,12.3,5.0,-2.3,-9.3,-16.7
1933,-17.4,-19.6,-7.7,-1.8,5.8,13.4,14.1,11.8,7.7,-2.4,-7.6,-19.6
1934,-15.6,-12.9,-10.1,-1.2,8.1,10.6,13.6,10.9,3.9,2.3,-5.4,-16.3
1935,-22.2,-10.2,-9.2,-2.2,3.9,9.4,16.3,11.1,5.4,-2.3,-13.9,-16.1
1936,-26.9,-30.8,-8.8,-5.1,7.3,10.9,17.6,12.8,7.3,-2.7,-8.3,-15.2
1937,-28.2,-20.2,-9.5,-1.1,6.5,10.3,14.9,14.1,6.6,0.2,-9.6,-17.7
1938,-18.4,-19.7,-5.6,-1.5,4.8,10.9,13.4,11.9,8.0,2.9,-10.4,-13.2
1939,-15.7,-25.1,-11.4,-2.1,7.6,9.2,14.4,11.6,6.1,-1.3,-6.4,-9.6
1940,-22.3,-14.6,-10.1,-2.4,4.8,9.8,14.3,12.3,8.5,3.1,-10.4,-12.8
1941,-17.8,-17.2,-9.9,1.2,7.7,11.9,14.0,12.7,6.6,0.1,-6.2,-11.2
1942,-14.5,-15.6,-6.5,0.6,3.6,9.6,12.5,11.7,5.0,0.3,-8.9,-17.9
1943,-24.5,-15.8,-14.5,-0.7,3.0,9.7,14.1,12.0,5.0,0.3,-6.6,-12.9
1944,-12.7,-18.4,-14.3,-2.1,7.3,10.3,12.3,11.6,6.5,0.1,-6.8,-14.8
1945,-15.9,-16.1,-5.9,-3.1,1.4,7.9,12.4,11.4,4.9,-1.1,-10.9,-19.3
1946,-18.5,-18.9,-4.3,1.1,3.1,9.9,14.0,10.5,6.3,-1.4,-10.2,-15.9
1947,-15.4,-19.1,-10.5,-1.9,2.3,9.5,13.9,14.0,5.7,3.2,-10.3,-15.8
1948,-19.3,-20.2,-14.1,-1.8,5.3,10.4,13.9,12.6,8.7,-0.3,-6.4,-18.0
1949,-22.9,-23.4,-11.0,0.4,5.8,10.1,13.0,13.0,4.3,-0.3,-4.3,-19.3
1950,-29.4,-19.6,-12.8,-4.8,3.6,9.1,11.7,9.9,6.8,0.7,-12.2,-17.8
1951,-22.1,-17.3,-17.0,-2.8,5.4,8.1,12.2,10.9,5.3,-0.6,-11.7,-20.0
1952,-22.0,-13.4,-12.8,0.7,4.8,10.7,12.1,11.3,7.3,-2.4,-7.6,-13.1
1953,-16.2,-13.2,-9.1,-3.9,4.6,11.1,12.9,13.0,5.8,2.3,-4.4,-12.6
1954,-24.8,-6.4,-10.9,-3.1,2.5,9.9,14.0,11.8,6.4,-0.2,-4.7,-10.6
1955,-17.6,-19.7,-14.1,1.5,6.7,10.2,14.8,13.4,5.3,0.0,-15.2,-20.6
1956,-20.1,-19.6,-11.7,-4.8,4.8,12.8,12.2,11.3,4.4,0.4,-7.0,-13.7
1957,-22.7,-16.8,-8.9,-2.0,4.8,9.1,15.1,12.6,5.4,0.7,-6.6,-11.3
1958,-13.7,-17.6,-8.1,-0.7,5.2,7.8,11.2,11.9,6.1,0.0,-8.6,-17.4
1959,-21.8,-21.0,-6.2,-2.3,3.6,11.4,12.7,12.3,6.0,-2.1,-11.4,-8.8
1960,-19.1,-17.3,-14.1,-1.3,4.6,9.6,13.6,12.2,6.6,-0.2,-8.7,-16.0
1961,-16.6,-13.8,-5.4,-3.8,3.4,11.1,12.8,13.3,4.6,0.2,-8.7,-19.7
1962,-20.1,-19.1,-11.5,-1.8,5.8,11.3,11.8,11.9,4.8,1.7,-4.4,-13.9
1963,-22.8,-16.6,-6.9,-0.9,4.2,12.4,14.4,12.6,8.3,4.6,-7.1,-18.2
1964,-15.5,-13.2,-13.8,-0.4,6.1,10.2,14.4,10.2,4.3,-0.2,-9.8,-21.4
1965,-22.7,-19.4,-15.6,-0.7,4.6,10.4,13.2,11.3,1.8,0.9,-9.2,-11.8
1966,-26.3,-19.1,-6.8,-3.4,3.2,10.4,15.0,10.7,6.6,-0.5,-11.6,-15.4
