year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.3,-7.7,2.1,9.1,13.4,18.3,20.2,20.1,17.3,5.4,0.5,-3.1
1896,-2.2,-2.2,0.2,10.7,15.4,18.1,20.9,20.4,14.8,7.4,0.8,-1.9
1897,-5.1,-1.3,3.5,7.7,12.8,18.6,20.8,18.6,15.5,10.2,0.6,-4.4
1898,-2.0,-1.1,2.4,7.1,14.1,19.4,20.2,19.0,15.6,7.1,-0.9,-6.1
1899,-4.5,-9.2,0.0,7.9,15.5,18.9,20.1,21.3,14.2,10.3,4.9,-2.6
1900,-1.7,-4.4,2.3,9.2,13.8,18.6,20.2,20.7,18.1,11.6,2.3,-1.9
1901,-3.1,-3.7,1.2,6.9,12.6,19.4,22.0,20.0,15.8,10.6,2.6,-4.6
1902,-4.9,-5.0,3.4,8.6,15.6,18.6,20.3,20.6,12.4,9.1,6.0,-3.2
1903,-2.7,-4.0,2.9,7.7,13.0,14.9,20.6,20.1,14.2,8.5,0.8,-4.2
1904,-5.4,-1.8,4.1,6.9,13.1,17.8,20.0,19.4,16.9,9.3,1.6,-3.4
1905,-7.1,-8.3,6.4,8.1,14.2,19.8,19.2,19.9,16.7,7.6,2.8,-3.9
1906,-2.9,-2.6,-1.0,9.5,14.1,17.6,18.7,19.4,17.0,6.6,1.7,0.9
1907,-0.3,-2.0,7.7,5.6,10.3,17.6,20.6,20.8,15.8,9.3,0.9,-0.9
1908,-2.4,-0.6,5.2,9.4,13.6,18.5,19.3,19.7,15.4,7.4,1.9,-1.2
1909,-2.4,-2.0,2.1,7.4,12.1,18.4,21.8,21.0,15.1,8.2,6.2,-6.0
1910,-2.4,-5.1,6.7,8.2,12.3,17.6,21.0,20.7,17.9,8.6,1.7,-3.2
1911,-1.2,0.3,4.6,8.5,14.6,20.9,20.8,19.8,19.6,9.7,-0.8,-2.6
1912,-8.4,-3.5,-0.4,8.4,14.7,16.1,21.6,20.2,14.8,9.3,1.7,-3.0
