year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.7,-4.6,-4.0,-0.2,2.8,5.4,8.7,8.1,4.8,1.3,-4.1,-4.8
1896,-2.9,-2.4,-2.3,-1.0,1.9,6.3,10.7,9.4,4.8,1.9,-3.3,-1.1
1897,-4.2,-3.1,-3.8,0.9,5.6,6.8,8.4,10.3,6.2,1.8,-1.3,-2.9
1898,-6.9,-1.3,-4.1,0.4,2.4,6.1,8.4,10.6,6.1,1.2,-3.1,-7.1
1899,-2.6,-5.0,-2.0,-0.3,1.7,4.8,8.6,6.8,5.8,0.7,0.2,-5.0
1900,-2.1,-3.7,0.7,0.3,3.8,7.5,8.7,7.9,5.7,2.0,-1.4,-1.3
1901,-5.1,-3.8,-2.3,-1.2,4.0,4.7,8.1,10.3,5.3,4.3,-0.9,-3.7
1902,-6.3,-1.2,-2.3,-0.3,3.4,5.2,7.3,7.9,3.7,1.7,-1.7,-4.1
1903,-4.4,-8.3,-2.4,-1.3,2.7,7.6,7.4,8.2,4.8,2.2,-0.4,-3.9
1904,-4.3,-3.7,-1.3,1.2,3.0,5.2,9.3,8.8,6.2,2.8,-0.4,-4.0
1905,-3.8,-5.6,-0.2,0.4,2.5,6.0,9.8,8.6,6.1,0.4,-5.2,-5.7
1906,-4.9,-3.2,-4.0,0.4,3.1,5.0,11.6,8.9,6.2,2.5,-1.4,-1.8
1907,-7.6,-0.9,-1.4,0.1,3.2,5.9,8.9,7.6,5.4,3.8,-1.9,-2.4
1908,-3.4,-3.7,-2.3,-0.3,1.1,5.1,10.5,8.4,5.4,1.8,-1.6,-5.6
1909,-5.7,-1.6,-1.9,-1.6,1.1,6.0,7.9,7.7,7.0,2.3,-0.5,-8.1
1910,-8.1,-5.2,0.1,1.4,3.5,5.2,9.5,6.3,4.8,2.6,-1.1,-2.3
1911,-5.4,-6.9,-3.0,-1.9,1.6,5.9,9.6,7.3,4.8,0.4,-2.7,-5.3
1912,-4.6,-1.7,-3.2,-0.3,3.1,6.1,9.1,8.3,4.3,-0.1,-1.2,-5.1
1913,-7.3,-7.0,-3.3,-0.3,3.2,6.9,9.4,10.0,5.1,0.9,0.2,-5.8
1914,-1.9,-3.4,-0.8,1.2,3.8,5.9,9.7,8.8,5.3,3.4,-2.3,-8.6
1915,-5.8,-1.8,-0.4,1.7,3.4,5.1,9.3,10.5,5.2,1.4,-1.6,-3.7
1916,-9.8,-2.6,-1.2,0.2,1.3,5.1,8.2,8.4,5.4,-1.1,-5.3,-6.4
1917,-8.8,-5.8,-5.7,-0.2,2.5,4.4,10.2,9.2,7.1,0.9,-0.6,0.8
1918,-1.9,-4.3,-1.4,-1.3,1.2,7.8,9.0,7.8,8.0,3.7,-2.2,-5.3
1919,-5.6,-3.1,-2.1,0.3,2.3,4.3,9.3,9.1,5.7,-0.4,-2.5,-8.0
1920,-5.3,-5.6,-1.9,-1.1,0.6,5.5,9.3,9.1,6.8,2.7,-2.1,-2.6
1921,-4.4,-2.8,-0.6,-0.5,3.4,7.7,7.8,8.5,3.7,2.3,-1.0,-5.2
1922,-10.4,-6.2,-3.8,-1.8,2.2,6.8,9.6,9.7,5.9,2.9,-3.6,-5.2
1923,-3.3,-7.2,-3.4,0.2,3.6,5.9,10.0,9.6,6.8,2.3,-1.8,-5.4
1924,-7.3,-1.0,-3.4,-1.1,3.4,5.5,8.6,8.1,5.4,2.7,-1.6,-9.2
1925,-2.4,-0.9,-2.0,1.5,4.7,6.6,10.4,8.1,6.4,0.7,-1.4,-2.3
1926,-4.6,-0.4,-1.8,2.4,3.3,6.9,10.0,9.3,3.6,2.5,0.6,-4.3
1927,-4.4,-2.2,-2.3,-0.8,2.3,7.1,9.1,8.8,6.6,2.7,1.5,-7.1
1928,-4.2,-4.2,0.3,0.0,4.2,6.3,10.3,7.8,5.4,2.0,-1.1,-6.6
1929,-8.8,-9.4,-1.6,-0.9,2.3,6.1,8.8,9.2,4.1,1.6,-5.6,-1.7
1930,-12.3,-0.8,-1.4,1.9,2.4,4.9,9.3,9.7,6.6,1.1,-3.8,-6.3
1931,-4.0,-3.7,-1.2,0.3,4.3,7.1,10.2,8.7,5.9,1.9,-3.9,-5.4
1932,-6.1,-6.8,-0.1,0.6,3.6,6.8,8.4,8.2,5.1,2.4,0.4,-8.2
1933,-5.9,-8.2,-2.0,-0.7,2.0,7.3,9.6,9.3,5.3,2.7,-2.4,0.2
1934,-0.6,-0.8,0.9,2.6,5.4,6.7,9.4,9.7,5.2,3.7,1.6,-2.9
1935,-5.2,-3.4,-3.3,0.3,2.1,6.4,9.4,8.3,6.2,1.4,-4.4,-4.6
1936,-3.6,-6.2,-2.6,2.1,5.1,8.2,10.4,9.6,5.1,1.4,-6.2,-3.9
1937,-13.8,-5.3,-0.8,0.1,3.4,7.5,10.5,8.3,6.8,3.7,1.3,-1.3
1938,-3.1,-3.0,-1.7,1.2,3.2,6.9,10.8,7.9,8.2,3.3,-3.6,-3.5
