year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,0.6,-3.4,4.7,9.4,14.0,19.2,20.7,21.3,19.3,8.5,5.5,0.7
1896,0.1,1.8,4.2,12.0,18.1,19.7,22.1,21.3,17.1,9.9,8.1,-0.1
1897,-0.7,3.7,7.4,9.7,13.7,20.2,21.2,20.2,16.8,12.3,5.5,2.1
1898,3.1,-0.6,8.9,7.3,15.6,19.8,21.4,21.5,18.4,10.4,4.1,1.6
1899,0.6,-0.1,5.9,8.8,16.2,20.0,20.8,21.6,16.6,11.8,5.9,0.6
1900,0.1,0.2,4.1,10.1,14.3,19.6,21.6,21.6,18.6,14.1,6.2,1.0
1901,0.4,-0.5,4.4,6.6,15.1,19.2,21.9,20.9,17.1,9.2,1.3,-0.7
1902,-1.2,-1.4,5.3,8.3,16.3,19.1,21.1,19.9,16.4,11.1,7.9,1.6
1903,0.6,2.7,10.3,8.7,15.4,17.6,20.8,21.2,16.6,9.1,3.8,-2.7
1904,-2.0,0.0,6.1,7.9,13.7,18.0,19.8,19.6,16.8,9.4,3.2,0.3
1905,-2.3,-2.1,7.0,9.9,17.0,19.3,20.9,19.2,18.2,11.0,4.8,0.8
1906,2.2,0.7,4.1,9.9,14.1,19.4,20.6,21.8,19.7,10.6,4.0,1.9
1907,4.8,0.8,8.9,6.4,14.3,17.4,21.1,20.1,18.5,8.7,4.3,1.0
1908,-0.1,-0.1,9.1,12.2,15.1,18.4,20.7,19.9,15.9,9.4,6.0,3.3
1909,2.9,3.3,5.2,10.7,13.9,19.9,19.8,19.8,16.3,8.2,6.3,-1.3
1910,0.1,-0.1,7.4,9.2,13.8,17.6,20.4,20.1,17.9,12.0,2.1,-1.8
1911,2.4,3.8,4.5,8.9,14.3,19.4,19.8,20.3,19.9,13.5,3.6,2.8
1912,-1.9,-1.3,4.9,11.2,15.8,18.0,20.6,19.8,19.8,11.0,2.6,2.8
1913,5.6,2.6,7.1,8.6,14.1,17.8,21.4,19.8,15.8,9.7,3.5,2.2
1914,0.9,-0.1,2.3,10.1,13.9,20.2,19.9,20.3,15.3,12.1,3.1,1.7
1915,0.7,2.1,0.3,8.7,16.3,17.7,20.4,20.1,18.0,12.8,5.6,-0.6
1916,4.4,1.6,3.8,8.4,15.4,18.0,20.9,20.6,15.7,11.0,4.4,0.6
1917,3.5,1.1,5.4,10.4,11.8,18.1,20.7,19.7,16.1,7.2,1.9,-3.1
1918,-3.7,3.7,7.9,9.4,15.3,18.4,18.5,20.1,14.2,12.9,4.1,4.6
1919,0.8,1.7,6.6,8.8,15.7,18.7,20.6,20.0,15.9,16.8,6.6,0.9
1920,1.2,0.4,4.0,9.7,13.0,18.2,20.1,20.3,18.3,9.6,4.2,1.4
