year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-20.2,-17.1,-9.3,2.8,5.6,9.4,12.3,11.4,6.9,-2.4,-8.9,-12.3
1896,-15.0,-11.5,-12.2,0.6,7.7,11.7,13.4,12.3,5.6,-2.0,-14.3,-8.7
1897,-16.6,-15.3,-11.6,0.2,5.6,11.1,14.8,11.5,10.9,2.0,-9.9,-13.9
1898,-12.4,-12.0,-9.1,-0.9,5.5,11.6,13.8,12.9,6.9,-0.9,-10.3,-14.6
1899,-15.8,-21.5,-15.9,-1.3,5.6,11.1,14.0,13.4,6.4,0.7,-3.6,-14.0
1900,-11.0,-17.6,-9.0,2.6,7.7,12.4,14.2,16.2,8.1,3.2,-8.4,-9.4
1901,-13.3,-16.2,-6.9,1.4,7.3,11.7,17.3,13.8,7.2,2.4,-6.5,-13.0
1902,-13.3,-13.6,-5.3,-1.3,7.5,9.4,13.7,12.5,4.8,0.3,-6.1,-15.9
1903,-14.2,-18.4,-7.6,0.1,6.0,10.3,13.7,13.0,5.9,1.6,-7.6,-13.6
1904,-16.3,-19.1,-8.1,-1.8,5.9,10.6,12.4,11.9,6.9,2.6,-4.9,-12.6
1905,-18.5,-18.3,-3.2,-1.0,4.3,10.6,13.2,13.9,8.4,-1.2,-5.1,-11.3
1906,-12.8,-13.1,-11.5,1.9,6.1,10.4,12.8,13.6,9.4,1.1,-6.2,-12.2
1907,-20.3,-11.7,-4.9,-3.8,1.7,10.8,13.7,12.2,6.0,-0.3,-6.8,-10.8
1908,-12.2,-12.0,-7.0,0.2,4.7,10.7,14.1,11.3,9.8,0.9,-5.4,-12.1
1909,-16.7,-13.1,-6.7,-3.6,4.8,12.7,14.8,15.7,8.1,0.6,-6.1,-17.6
1910,-15.2,-18.4,-0.3,1.6,3.6,12.3,14.3,11.3,7.9,2.5,-7.4,-12.2
1911,-16.7,-14.1,-4.7,-0.8,6.6,14.1,12.9,11.9,8.6,0.6,-11.4,-12.1
