year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.4,-2.9,6.2,10.0,14.3,19.2,20.7,20.3,18.0,8.8,3.1,0.1
1896,0.9,1.9,4.7,13.1,18.4,20.3,21.4,20.7,17.1,11.3,5.7,1.8
1897,-1.0,3.4,7.8,10.2,14.9,19.6,20.8,19.9,16.1,12.4,4.7,-0.6
1898,1.7,3.5,7.0,10.3,16.3,20.3,20.8,19.9,17.1,9.4,3.1,-1.2
1899,-0.7,-3.4,6.2,10.5,17.4,20.1,21.1,21.4,16.9,12.4,6.1,1.2
1900,2.8,1.5,7.3,11.4,16.1,20.4,21.7,21.3,20.4,13.4,6.4,1.1
1901,2.0,1.2,4.8,9.7,15.4,20.6,22.2,21.7,18.1,13.1,6.4,0.0
1902,-0.1,1.4,6.6,12.9,17.8,20.9,21.5,22.0,16.8,11.8,8.9,1.9
1903,1.2,1.1,6.4,10.9,15.1,17.1,21.2,21.1,16.7,10.3,4.2,0.4
1904,-1.4,3.6,8.7,11.2,15.2,19.3,20.5,20.3,18.9,12.0,4.7,0.9
1905,-0.7,-2.7,9.3,10.8,17.2,20.4,20.3,21.3,18.7,11.9,7.9,-0.8
1906,0.1,1.6,4.1,12.0,15.8,19.6,20.4,20.2,18.2,8.5,5.0,4.8
1907,5.1,2.6,10.7,9.6,13.4,18.9,20.9,21.2,17.4,13.3,4.8,2.4
1908,1.7,2.9,9.4,12.2,15.5,20.5,20.2,20.3,16.5,9.3,4.8,2.9
1909,2.8,2.8,6.2,10.3,14.9,19.8,22.3,21.2,16.6,10.7,8.8,-1.8
1910,1.1,-0.6,8.6,10.3,14.8,19.2,21.4,21.6,18.7,10.6,6.1,1.8
1911,4.3,5.2,8.6,11.9,15.2,20.6,21.3,21.3,20.3,11.9,2.9,0.8
1912,-2.1,-0.1,4.0,11.0,15.8,17.9,21.6,21.4,17.4,12.5,4.2,0.8
1913,0.6,0.9,4.0,9.4,15.2,18.9,21.0,20.7,15.9,10.7,9.8,2.2
1914,2.7,0.6,4.4,10.4,16.2,20.4,21.3,20.8,17.6,11.7,7.0,0.1
1915,-0.2,3.6,1.9,11.8,15.1,19.8,21.0,19.5,18.5,11.0,5.7,1.9
1916,2.6,2.2,7.5,9.9,15.7,20.1,21.2,20.7,16.8,11.3,3.6,0.4
1917,1.7,1.8,5.7,9.9,12.9,18.9,21.7,20.8,17.1,7.8,4.9,-1.0
1918,-4.4,2.6,8.0,10.2,16.4,20.9,21.4,21.1,14.8,12.8,5.4,2.1
1919,-0.4,2.1,6.3,11.2,14.7,18.0,20.7,20.8,17.9,14.8,5.6,0.4
1920,0.1,4.0,5.1,9.0,16.3,18.7,20.8,19.9,18.2,12.1,4.4,0.8
1921,3.4,2.6,9.7,9.4,15.4,19.6,21.3,21.1,20.1,10.8,6.3,3.0
1922,-0.2,3.7,5.3,12.2,16.3,19.4,21.2,21.0,17.7,10.8,6.8,3.6
1923,4.3,2.5,4.1,11.6,15.3,20.3,21.1,21.1,18.5,11.4,5.3,3.7
1924,-2.0,1.7,3.8,10.3,13.6,20.5,20.7,21.7,16.0,11.4,6.5,0.3
1925,-1.9,3.8,7.7,13.6,15.5,21.0,22.1,20.4,19.0,11.4,4.5,-0.4
1926,-0.7,3.8,5.6,9.2,15.0,19.3,20.4,20.4,18.9,14.3,3.9,2.2
1927,1.7,5.4,6.2,12.5,17.7,19.6,21.0,20.8,18.2,11.7,8.9,0.1
1928,0.6,2.8,7.2,8.7,15.3,20.0,21.7,21.1,16.7,13.3,5.3,1.1
1929,0.7,-1.2,7.1,12.8,15.2,19.8,20.9,20.7,17.3,12.4,2.6,1.1
1930,-3.8,5.2,4.2,12.6,15.8,19.3,21.1,20.8,18.2,12.5,5.8,0.4
1931,1.8,5.0,3.1,8.7,13.4,19.6,21.2,19.7,19.7,14.4,8.3,3.0
1932,1.9,6.5,3.3,11.3,15.4,20.0,21.6,21.3,17.3,9.8,2.2,0.1
1933,3.7,0.6,7.3,9.9,16.2,18.9,21.8,21.1,20.3,13.2,6.4,3.8
1934,1.8,2.2,4.2,12.2,15.7,20.9,21.9,22.1,17.3,13.3,7.6,2.3
1935,2.8,2.6,9.4,11.7,14.9,19.6,21.2,21.3,16.6,13.2,5.6,1.8
1936,-1.1,-0.9,7.6,9.4,16.4,20.0,21.1,21.1,18.9,10.0,4.0,2.8
1937,0.1,2.2,4.4,10.5,16.1,20.1,21.4,21.9,17.9,11.6,4.4,2.8
1938,2.7,5.8,9.2,10.6,15.8,20.1,21.2,21.1,17.2,12.2,3.4,1.3
1939,2.5,0.4,7.2,10.7,16.3,20.4,21.6,20.3,18.1,12.4,4.5,2.3
1940,-4.2,2.1,6.2,10.4,15.1,18.4,20.8,20.0,16.6,11.9,5.1,3.4
1941,2.9,3.1,4.3,11.7,16.5,19.0,20.8,20.6,18.6,15.2,4.7,2.8
1942,-1.1,1.7,4.4,11.6,15.1,19.8,20.4,20.8,15.9,11.4,6.7,1.8
1943,-0.2,3.1,3.8,12.4,15.7,20.3,21.1,21.8,16.7,10.1,3.8,0.6
1944,0.3,5.3,5.4,9.9,15.0,20.4,21.1,21.2,16.8,10.8,6.8,0.3
1945,1.2,3.7,8.9,10.0,14.7,19.3,20.7,20.8,17.4,11.0,6.6,0.0
1946,0.5,2.7,7.0,12.8,15.4,19.2,21.1,21.2,18.5,13.6,6.1,3.5
1947,0.2,-0.9,3.5,10.8,15.2,20.1,20.7,20.9,17.4,14.5,4.1,1.9
1948,-2.2,2.2,4.8,12.6,16.4,20.4,21.6,20.8,16.6,10.8,3.9,3.2
1949,-1.1,3.9,6.6,9.9,17.0,19.8,21.4,19.6,17.4,12.0,5.0,2.9
1950,4.1,4.8,5.1,10.8,16.2,19.7,20.8,19.6,17.7,12.9,3.7,-0.1
1951,-0.7,1.9,5.8,9.8,15.7,20.0,22.2,21.8,17.8,12.8,3.9,2.2
1952,4.5,3.8,5.1,9.8,14.6,20.8,21.0,22.3,16.6,7.8,5.1,1.0
1953,2.5,2.3,9.4,10.2,15.6,22.0,22.1,20.9,16.3,12.3,4.9,-0.1
1954,1.7,4.4,5.6,13.8,14.4,20.3,22.1,21.8,18.6,13.2,4.8,2.0
1955,1.4,2.0,6.6,12.8,16.8,18.6,21.4,20.8,18.7,10.9,4.6,1.5
1956,0.4,2.7,5.8,10.5,17.3,20.6,21.6,20.9,17.3,13.0,3.6,2.6
1957,1.9,7.6,6.4,10.8,15.8,19.8,21.9,21.2,16.4,11.1,5.0,2.7
1958,0.0,1.7,3.9,10.4,15.7,20.6,21.8,21.1,19.2,12.4,6.0,-0.2
1959,-1.0,2.9,4.3,10.1,17.0,19.9,20.5,21.0,18.3,11.3,1.9,2.7
1960,0.9,-0.4,3.6,11.8,14.4,20.1,21.2,21.1,17.2,13.5,6.7,0.7
1961,-1.4,2.7,7.1,9.7,15.7,19.0,20.3,19.3,17.5,11.3,4.7,1.7
1962,-3.0,4.9,4.2,11.2,16.9,19.2,21.4,20.9,18.3,14.1,5.9,1.9
1963,-3.8,0.4,7.2,13.9,16.8,20.1,21.9,21.3,18.3,13.4,6.6,-1.5
1964,-0.7,-0.3,5.2,12.2,16.8,19.6,21.8,21.8,18.4,10.0,7.1,1.6
1965,2.3,1.2,2.9,13.1,16.9,19.8,21.3,20.2,18.1,10.6,9.2,4.3
1966,-1.4,0.3,6.4,11.2,15.7,19.2,22.3,20.4,17.4,9.8,7.2,-0.2
1967,0.1,1.2,8.8,14.9,14.6,20.2,20.9,19.5,16.4,10.4,6.4,1.2
1968,1.7,0.9,5.8,11.2,15.7,19.4,20.4,20.6,15.8,12.3,4.7,0.6
1969,2.6,3.4,3.1,11.9,15.1,19.3,22.4,21.4,17.9,11.8,4.6,2.6
1970,-1.2,2.9,4.4,11.6,14.3,18.7,20.9,20.8,18.3,10.0,3.3,4.4
1971,1.3,1.9,5.1,10.3,15.1,20.2,21.1,19.3,17.7,13.3,6.4,4.6
1972,0.9,2.3,8.2,12.6,15.1,19.5,20.4,19.9,18.9,12.3,3.2,-0.4
