year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-9.8,-10.1,-4.9,0.2,5.0,8.1,12.6,12.6,7.3,1.8,-5.5,-11.2
1896,-6.6,-7.8,-3.7,-0.9,4.0,11.0,14.2,13.0,8.1,2.3,-5.2,-6.6
1897,-9.1,-8.3,-6.6,0.6,7.1,8.6,11.8,12.7,8.9,2.5,-3.2,-12.0
1898,-14.7,-8.8,-6.0,1.4,4.1,9.1,13.4,13.7,6.2,-1.2,-6.4,-12.3
1899,-8.3,-8.8,-3.2,0.1,2.9,8.7,13.9,10.3,7.8,0.8,-2.1,-10.6
1900,-5.8,-6.6,-2.2,0.1,5.8,10.7,12.8,10.8,5.7,1.8,-2.7,-7.4
1901,-8.8,-6.2,-5.0,-0.7,6.5,8.1,14.4,14.1,5.7,2.9,-2.8,-7.9
1902,-9.2,-5.3,-4.6,0.6,4.8,9.8,10.8,11.7,6.7,1.9,-3.7,-8.7
1903,-9.1,-15.8,-3.7,-0.4,3.7,10.6,12.2,12.3,6.2,1.0,-5.0,-11.1
1904,-12.3,-5.8,-2.7,0.6,5.3,9.1,12.2,12.6,7.6,0.9,-6.1,-9.4
1905,-8.2,-7.0,-1.4,1.1,3.7,8.7,12.4,12.7,7.7,-1.1,-4.1,-12.1
1906,-9.8,-5.4,-3.4,1.2,4.7,7.7,13.5,12.6,7.5,0.7,-4.2,-4.6
1907,-7.4,-2.1,-0.7,1.8,3.7,7.1,12.7,11.6,6.5,3.9,-4.7,-6.9
1908,-9.0,-7.1,-3.7,0.6,2.7,7.1,13.3,11.9,7.0,-0.3,-5.8,-10.4
1909,-5.8,-7.2,-4.2,-1.0,2.8,9.9,13.5,13.8,7.8,1.7,-3.4,-13.8
1910,-11.2,-9.3,-0.7,1.4,5.2,10.4,14.2,12.3,9.3,1.8,-1.8,-6.1
1911,-5.4,-7.9,-1.4,-0.6,3.8,9.9,12.8,11.8,8.2,0.1,-6.4,-11.8
1912,-9.3,-6.1,-2.7,-1.2,3.8,9.5,12.4,11.4,4.2,0.9,-3.8,-10.8
1913,-12.6,-8.7,-5.4,-0.1,4.9,9.1,12.8,12.8,7.5,-0.1,-1.7,-10.6
1914,-7.5,-7.7,-2.6,2.2,6.0,9.3,13.6,12.3,7.6,2.8,-5.4,-11.4
1915,-12.2,-6.0,-2.7,2.9,4.1,7.6,12.8,11.8,7.3,1.0,-3.8,-7.8
1916,-10.1,-6.3,-2.3,1.0,2.4,8.1,12.9,11.3,6.1,1.4,-6.7,-10.4
1917,-15.5,-8.9,-8.0,-1.3,3.7,8.1,14.8,11.7,7.8,0.9,-3.2,-4.8
1918,-8.7,-8.3,-1.9,-0.9,3.8,12.7,13.7,11.4,8.3,4.3,-5.4,-9.3
1919,-12.2,-7.7,-3.9,1.1,6.2,9.8,14.6,12.9,8.9,-1.0,-5.4,-12.1
1920,-9.3,-5.1,-4.3,-1.8,5.2,9.2,13.7,11.9,6.9,1.4,-3.7,-9.2
1921,-7.2,-6.0,-1.4,-1.1,5.3,10.4,13.9,12.7,6.5,3.4,-3.2,-5.2
1922,-14.4,-8.7,-5.4,-2.1,4.0,10.5,13.4,13.9,8.9,1.8,-4.3,-5.4
1923,-6.3,-11.4,-6.1,0.1,5.4,7.7,14.8,11.8,7.0,0.2,-3.6,-8.9
1924,-13.7,-4.6,-5.2,-0.6,5.2,9.7,13.3,11.5,6.6,0.5,-5.3,-12.7
1925,-13.1,-5.0,-2.9,1.1,6.6,9.1,14.6,12.4,7.6,1.8,-4.9,-6.3
1926,-10.3,-4.8,-2.8,2.8,5.9,10.7,13.3,12.9,6.3,1.4,-2.8,-9.0
1927,-7.6,-4.4,-3.1,0.1,4.1,10.1,14.1,12.1,8.0,1.7,-1.2,-10.2
1928,-8.5,-6.2,-0.8,-0.7,6.9,8.6,13.1,11.4,7.4,2.7,-2.8,-10.7
1929,-11.3,-11.0,-3.6,-0.8,4.3,8.3,15.0,14.1,7.7,2.1,-6.9,-6.9
1930,-13.6,-5.1,-3.2,3.1,3.6,9.3,14.5,13.5,7.9,0.8,-7.8,-13.4
1931,-11.7,-4.3,-4.6,0.7,4.4,11.2,15.0,13.6,8.4,3.3,-6.2,-12.2
1932,-13.6,-7.2,-3.7,0.5,5.2,9.3,13.9,12.6,7.2,0.7,-4.3,-13.4
1933,-11.7,-15.3,-3.9,-1.7,2.6,11.1,15.6,12.2,9.3,3.3,-4.6,-5.4
1934,-6.4,-2.4,-0.8,2.4,7.6,8.9,14.7,14.4,7.1,2.4,-2.2,-7.1
1935,-6.9,-5.6,-4.1,1.0,4.6,10.2,13.7,13.6,8.9,0.8,-6.0,-8.6
1936,-8.4,-5.6,-3.6,1.5,6.0,12.2,15.4,13.8,7.1,2.2,-5.8,-7.3
1937,-18.7,-9.6,-3.6,-0.7,6.4,9.6,15.1,13.5,9.2,2.7,-3.0,-5.3
1938,-6.2,-4.7,-3.0,0.9,4.8,10.6,13.0,13.5,9.8,3.1,-7.8,-6.4
1939,-8.6,-12.9,-3.2,1.9,6.1,9.1,14.1,13.1,9.5,1.8,-3.7,-6.0
1940,-7.3,-4.6,-2.1,1.6,6.9,11.3,14.4,13.3,10.2,3.2,-5.1,-7.0
1941,-7.6,-4.1,-2.4,-0.3,6.1,9.1,13.2,12.7,6.1,1.8,-3.8,-5.7
1942,-10.4,-9.6,-5.8,1.2,3.2,8.6,14.0,12.3,6.8,2.6,-3.9,-6.3
1943,-7.5,-6.4,-3.3,3.0,4.8,8.6,13.7,13.6,8.8,3.3,-4.4,-6.3
1944,-12.1,-8.6,-5.3,-0.4,5.2,7.7,12.7,11.6,7.9,3.1,-3.6,-8.1
