year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.7,-2.5,-2.4,0.8,4.0,7.3,9.7,9.1,5.2,1.8,-2.3,-3.7
1896,-4.4,-1.5,-3.1,0.0,3.3,7.2,11.4,10.1,5.5,2.2,-4.8,-1.8
1897,-5.4,-3.7,-4.6,1.9,6.0,7.7,8.8,10.3,6.1,2.0,-2.1,-4.3
1898,-6.3,-1.1,-2.9,1.0,4.1,7.3,9.6,11.6,7.3,1.9,-2.1,-6.3
1899,-4.9,-5.9,-2.4,0.6,2.8,6.2,9.9,8.7,7.2,2.6,3.0,-1.9
1900,-2.3,-3.9,0.7,2.0,5.0,8.7,9.7,8.9,6.7,2.8,-2.3,0.2
1901,-5.0,-4.2,-0.9,-0.2,5.0,5.6,8.3,10.0,5.8,4.7,0.3,-2.7
1902,-5.5,-1.7,-1.3,0.7,5.4,6.0,8.6,8.6,5.3,3.4,-0.8,-4.0
1903,-3.2,-7.1,-2.9,0.0,3.9,8.9,8.8,9.9,6.2,2.9,-0.9,-2.9
1904,-3.7,-4.2,-2.6,2.1,3.4,6.2,10.5,9.5,6.3,3.8,1.4,-2.2
1905,-3.9,-5.2,1.0,1.5,4.1,7.7,10.2,9.4,7.8,0.7,-2.4,-3.3
1906,-3.5,-1.7,-2.6,2.2,4.8,6.3,12.4,9.5,7.0,3.7,-1.2,-2.3
1907,-10.6,-2.9,-1.9,0.1,4.7,6.9,9.7,8.6,6.6,3.8,-0.3,-2.3
1908,-4.3,-3.9,-1.4,0.9,3.5,6.7,10.4,9.2,5.9,2.5,0.0,-4.7
1909,-10.0,-2.2,-1.6,-0.2,3.1,6.8,8.6,7.6,7.2,2.8,-0.2,-6.8
1910,-6.4,-6.6,0.4,2.3,4.8,6.2,9.3,7.7,6.6,4.0,-0.5,-1.8
1911,-6.2,-6.1,-2.1,-1.1,3.2,7.1,9.9,8.6,6.2,1.3,-2.9,-3.8
1912,-5.9,-1.9,-3.4,1.3,4.9,7.9,10.0,9.2,5.5,1.3,0.0,-3.2
1913,-7.8,-7.7,-2.9,1.0,4.3,8.1,9.6,10.1,5.9,1.9,-0.1,-3.3
1914,-2.0,-3.3,-0.4,2.1,4.8,6.8,9.9,9.1,6.3,4.3,0.2,-7.7
1915,-6.4,-1.4,0.5,2.6,5.3,7.0,10.2,11.1,6.3,3.8,-2.2,-4.1
1916,-12.6,-4.2,-0.9,1.3,2.9,6.6,8.9,9.3,6.2,0.2,-4.2,-7.1
1917,-7.2,-4.6,-4.4,0.7,4.1,5.6,9.3,9.4,7.5,2.5,0.8,-1.3
1918,-2.4,-4.6,-1.3,0.1,3.1,8.0,10.3,9.3,7.8,4.4,-1.2,-3.2
1919,-4.7,-3.6,-1.6,1.4,3.6,4.9,9.1,9.4,6.3,0.6,-2.0,-8.2
1920,-5.2,-4.2,-1.5,-0.1,2.1,6.1,10.6,9.9,7.1,2.9,-1.2,-2.1
1921,-4.4,-2.7,-1.0,0.3,3.8,8.2,8.6,9.6,5.1,2.9,-1.5,-5.3
1922,-9.8,-7.7,-3.3,-0.1,3.1,8.4,10.1,10.2,7.3,3.8,-2.1,-7.4
1923,-3.4,-7.5,-2.5,1.4,4.4,7.6,10.8,10.3,6.9,3.1,-0.5,-3.6
1924,-7.1,-0.2,-1.9,0.1,5.1,7.1,9.8,9.5,6.4,3.1,-1.6,-7.7
1925,-3.9,-0.3,-0.8,2.3,5.4,7.6,10.9,9.2,7.1,1.2,-1.7,-0.2
1926,-3.1,-0.3,-0.3,2.9,4.4,8.1,10.7,9.8,4.8,3.8,0.3,-4.3
1927,-5.7,-3.0,-1.9,0.0,3.4,8.4,10.2,10.1,7.4,3.7,0.1,-7.7
1928,-4.4,-3.8,-0.2,0.7,5.2,7.9,11.2,8.7,6.1,3.1,-1.1,-4.9
1929,-10.3,-10.3,-0.9,-0.3,3.9,7.5,8.8,9.8,5.8,2.9,-4.3,-2.6
1930,-14.0,-2.1,-1.2,2.6,3.9,6.4,9.8,10.2,7.6,1.7,-2.1,-3.9
1931,-2.2,-3.3,-0.5,1.3,5.2,7.9,9.9,8.9,7.2,2.1,-3.4,-5.2
1932,-6.5,-5.6,-0.7,2.2,4.1,7.7,8.7,9.8,5.9,3.4,0.7,-6.7
